"","EVI2018"
"1",4467
"2",4320
"3",4903
"4",3915
"5",4007
"6",4429
"7",4143
"8",3634
"9",3631
"10",3963
"11",4678
"12",4721
"13",3996
"14",4661
"15",3644
"16",3745
"17",3424
"18",4136
"19",3603
"20",4067
"21",4393
"22",4590
"23",3948
"24",4838
"25",4401
"26",4542
"27",4213
"28",4355
"29",4049
"30",3736
"31",3839
"32",3537
"33",4322
"34",3263
"35",4496
"36",4085
"37",4111
"38",4380
"39",4376
"40",4618
"41",4421
"42",3812
"43",3887
"44",3802
"45",3891
"46",3894
"47",3941
"48",4107
"49",5181
"50",4477
"51",4159
"52",3756
"53",3418
"54",3269
"55",3697
"56",4124
"57",4569
"58",3899
"59",3585
"60",2747
"61",3893
"62",3901
"63",3878
"64",4282
"65",3983
"66",3857
"67",3724
"68",3766
"69",4195
"70",4189
"71",4688
"72",3896
"73",3796
"74",3952
"75",3713
"76",4100
"77",4346
"78",3372
"79",4352
"80",3967
"81",4072
"82",2805
"83",4132
"84",3667
"85",4095
"86",4865
"87",4391
"88",4493
"89",4050
"90",3420
"91",3661
"92",3372
"93",4273
"94",4529
"95",4192
"96",4147
"97",3616
"98",5105
"99",4211
"100",3911
"101",3752
"102",3794
"103",3276
"104",3617
"105",4339
"106",4342
"107",3303
"108",3272
"109",4847
"110",4102
"111",4329
"112",4263
"113",4389
"114",4201
"115",3723
"116",3851
"117",4223
"118",3870
"119",4090
"120",5190
"121",4669
"122",4163
"123",4047
"124",4007
"125",4179
"126",3685
"127",4205
"128",3955
"129",4301
"130",4868
"131",4064
"132",3657
"133",4803
"134",4269
"135",3955
"136",4415
"137",4444
"138",3574
"139",3768
"140",3613
"141",4508
"142",4231
"143",4116
"144",3382
"145",3331
"146",3585
"147",4713
"148",4502
"149",4098
"150",3773
"151",3667
"152",3192
"153",3333
"154",3927
"155",3304
"156",5493
"157",4136
"158",4061
"159",4099
"160",3935
"161",3230
"162",3336
"163",3483
"164",3208
"165",3051
"166",2943
"167",2641
"168",5307
"169",5031
"170",3968
"171",4124
"172",3802
"173",3183
"174",3079
"175",3323
"176",3061
"177",3670
"178",4667
"179",4239
"180",4566
"181",3782
"182",3974
"183",3421
"184",2900
"185",3937
"186",3173
"187",3363
"188",3986
"189",3231
"190",5461
"191",3742
"192",3898
"193",3936
"194",4170
"195",3355
"196",3513
"197",3402
"198",2946
"199",3930
"200",2647
"201",3090
"202",3079
"203",3699
"204",4253
"205",4604
"206",3958
"207",3804
"208",3749
"209",3846
"210",3030
"211",2999
"212",3347
"213",2917
"214",2061
"215",3503
"216",3894
"217",4590
"218",4077
"219",4289
"220",4110
"221",3600
"222",3828
"223",3604
"224",3114
"225",3373
"226",3466
"227",2882
"228",3833
"229",3843
"230",4222
"231",3979
"232",3973
"233",4593
"234",3864
"235",3693
"236",4248
"237",4123
"238",4074
"239",3645
"240",3369
"241",3559
"242",3497
"243",3459
"244",4060
"245",3827
"246",4113
"247",3733
"248",3900
"249",3898
"250",3653
"251",3508
"252",3441
"253",2990
"254",3952
"255",4672
"256",4021
"257",3498
"258",3828
"259",3296
"260",3806
"261",3792
"262",3577
"263",3355
"264",3009
"265",2991
"266",3598
"267",4477
"268",4608
"269",4411
"270",3775
"271",3618
"272",3564
"273",3423
"274",3458
"275",3658
"276",3500
"277",3412
"278",3222
"279",3628
"280",4762
"281",4563
"282",4022
"283",4258
"284",3629
"285",3423
"286",3409
"287",3040
"288",3738
"289",3537
"290",2741
"291",3625
"292",4014
"293",4344
"294",4179
"295",4387
"296",4719
"297",3835
"298",4415
"299",3521
"300",3553
"301",3316
"302",3503
"303",3660
"304",3390
"305",3170
"306",3955
"307",4658
"308",4072
"309",4164
"310",4607
"311",3768
"312",3892
"313",2995
"314",3252
"315",3578
"316",3862
"317",3694
"318",3470
"319",4308
"320",3791
"321",2992
"322",4460
"323",3883
"324",4055
"325",3769
"326",4344
"327",4776
"328",4158
"329",3550
"330",3707
"331",3955
"332",3128
"333",3057
"334",3667
"335",4152
"336",3927
"337",3993
"338",3954
"339",4584
"340",4621
"341",3984
"342",3311
"343",3861
"344",3279
"345",3069
"346",3331
"347",3998
"348",4155
"349",4540
"350",4653
"351",4692
"352",4207
"353",3850
"354",3871
"355",3988
"356",3241
"357",4692
"358",3277
"359",3963
"360",4460
"361",4456
"362",4081
"363",3802
"364",3917
"365",4354
"366",4178
"367",4067
"368",3671
"369",3105
"370",3082
"371",3244
"372",4140
"373",4271
"374",4464
"375",3837
"376",3800
"377",4343
"378",4370
"379",3697
"380",4019
"381",3953
"382",4571
"383",3962
"384",4340
"385",4783
"386",3741
"387",3978
"388",3953
"389",4058
"390",4381
"391",3763
"392",4166
"393",3995
"394",4310
"395",3681
"396",4187
"397",4221
"398",3823
"399",4028
"400",4328
"401",4041
"402",4111
"403",4434
"404",3827
"405",3743
"406",3817
"407",4336
"408",4043
"409",4389
"410",4420
"411",3733
"412",3686
"413",4018
"414",4204
"415",4409
"416",3212
"417",3665
"418",4113
"419",4113
"420",4153
"421",1398
"422",4490
"423",4176
"424",4116
"425",3457
"426",3587
"427",4066
"428",4243
"429",4060
"430",3962
"431",4011
"432",4725
"433",4220
"434",4239
"435",4045
"436",4053
"437",4394
"438",4561
"439",3725
"440",3713
"441",4130
"442",3886
"443",4622
"444",4353
"445",4722
"446",3789
"447",4215
"448",3953
"449",4139
"450",4203
"451",4504
"452",3948
"453",4030
"454",4247
"455",4210
"456",4890
"457",4973
"458",4294
"459",4175
"460",3754
"461",3695
"462",3573
"463",4141
"464",3882
"465",4098
"466",4166
"467",3822
"468",3597
"469",4369
"470",4426
"471",5301
"472",3986
"473",3962
"474",3535
"475",3301
"476",3613
"477",4032
"478",4522
"479",3990
"480",3966
"481",5165
"482",4325
"483",4925
"484",4290
"485",3850
"486",3950
"487",3199
"488",3130
"489",3214
"490",3614
"491",5037
"492",4314
"493",3954
"494",4244
"495",4278
"496",4081
"497",3607
"498",3816
"499",3390
"500",4638
"501",4398
"502",4074
"503",4016
"504",3966
"505",3974
"506",4010
"507",3823
"508",3834
"509",4321
"510",4132
"511",4564
"512",4905
"513",4723
"514",5001
"515",3500
"516",4161
"517",5161
"518",4307
"519",4421
"520",5188
"521",5204
"522",4702
"523",4793
"524",3562
"525",5043
"526",4865
"527",4970
"528",4570
"529",4448
"530",4382
"531",3974
"532",4404
"533",4129
"534",4694
"535",4716
"536",4706
"537",4083
"538",3788
"539",4429
"540",4624
"541",5205
"542",3975
"543",4354
"544",4257
"545",4762
"546",4182
"547",4748
"548",4057
