"","EVI2012"
"1",4472
"2",3995
"3",4757
"4",3569
"5",3334
"6",4339
"7",3388
"8",3120
"9",3056
"10",3524
"11",4444
"12",4875
"13",3362
"14",4269
"15",2593
"16",2933
"17",3068
"18",3345
"19",3172
"20",4136
"21",3698
"22",3766
"23",3631
"24",4425
"25",3918
"26",4424
"27",3500
"28",2933
"29",3295
"30",2435
"31",2955
"32",2743
"33",3967
"34",3399
"35",4022
"36",3770
"37",3486
"38",3263
"39",3577
"40",4523
"41",4304
"42",3626
"43",3879
"44",2887
"45",2611
"46",2976
"47",3477
"48",3468
"49",4848
"50",4231
"51",3870
"52",3447
"53",3187
"54",2984
"55",3125
"56",2901
"57",4518
"58",3702
"59",3208
"60",2695
"61",3503
"62",3017
"63",3138
"64",3754
"65",3567
"66",3564
"67",3148
"68",2382
"69",2852
"70",3051
"71",3904
"72",3360
"73",4154
"74",3431
"75",2946
"76",3170
"77",2808
"78",3327
"79",4122
"80",3721
"81",3543
"82",3583
"83",3541
"84",2898
"85",2457
"86",4599
"87",4025
"88",4607
"89",3507
"90",2670
"91",3627
"92",2819
"93",2685
"94",2852
"95",2840
"96",2526
"97",2583
"98",4875
"99",3487
"100",3618
"101",3329
"102",3317
"103",3221
"104",2770
"105",2575
"106",2629
"107",2684
"108",2817
"109",4333
"110",3783
"111",2980
"112",3272
"113",4045
"114",4075
"115",3320
"116",3074
"117",3550
"118",2573
"119",2885
"120",4658
"121",3936
"122",3573
"123",3428
"124",3328
"125",4057
"126",3012
"127",3503
"128",3058
"129",3518
"130",4585
"131",3932
"132",3469
"133",4629
"134",4275
"135",3702
"136",3774
"137",3493
"138",3569
"139",2988
"140",3095
"141",3437
"142",3351
"143",3339
"144",3454
"145",3554
"146",3178
"147",3413
"148",4175
"149",3352
"150",3151
"151",3201
"152",3535
"153",3217
"154",3025
"155",2694
"156",4881
"157",3466
"158",3452
"159",2939
"160",3229
"161",3201
"162",2499
"163",2905
"164",2766
"165",2800
"166",2885
"167",2644
"168",5113
"169",4883
"170",3738
"171",3157
"172",3180
"173",3667
"174",3126
"175",3024
"176",3108
"177",4514
"178",4237
"179",3902
"180",3905
"181",3252
"182",3535
"183",3494
"184",3466
"185",3248
"186",3296
"187",3533
"188",3276
"189",3311
"190",4572
"191",2841
"192",3368
"193",3625
"194",2970
"195",3318
"196",2885
"197",3154
"198",2530
"199",3882
"200",2908
"201",3093
"202",4048
"203",3371
"204",3458
"205",4461
"206",3720
"207",2814
"208",2893
"209",3484
"210",3096
"211",2671
"212",2678
"213",3215
"214",2434
"215",3592
"216",3090
"217",4178
"218",3434
"219",3181
"220",2818
"221",2871
"222",3150
"223",2563
"224",2510
"225",2823
"226",3216
"227",2751
"228",3449
"229",3429
"230",3611
"231",3834
"232",4454
"233",4551
"234",3354
"235",2988
"236",2830
"237",2736
"238",3822
"239",3098
"240",3655
"241",4267
"242",3193
"243",2929
"244",3540
"245",3457
"246",2877
"247",3216
"248",3519
"249",3739
"250",3846
"251",2787
"252",3508
"253",2641
"254",3708
"255",3934
"256",3502
"257",2900
"258",3421
"259",3437
"260",3320
"261",3602
"262",3217
"263",3036
"264",2980
"265",2560
"266",3339
"267",3432
"268",3559
"269",3913
"270",3646
"271",3434
"272",3053
"273",2636
"274",3421
"275",2980
"276",2775
"277",3055
"278",3508
"279",4423
"280",4906
"281",3741
"282",3540
"283",4169
"284",3211
"285",3544
"286",3298
"287",3243
"288",3046
"289",2905
"290",3173
"291",3234
"292",4525
"293",3426
"294",2860
"295",3783
"296",3849
"297",4039
"298",4316
"299",3878
"300",3247
"301",3102
"302",2692
"303",3448
"304",3071
"305",2980
"306",4685
"307",4309
"308",3861
"309",3550
"310",4354
"311",3683
"312",3862
"313",3493
"314",3833
"315",3129
"316",2863
"317",2765
"318",3184
"319",3505
"320",2748
"321",3530
"322",3156
"323",3239
"324",4590
"325",4698
"326",3519
"327",4199
"328",3811
"329",3490
"330",3408
"331",2883
"332",3380
"333",2768
"334",3640
"335",3094
"336",3655
"337",3269
"338",4044
"339",3745
"340",4482
"341",3498
"342",3021
"343",3171
"344",3003
"345",3878
"346",3970
"347",3169
"348",2988
"349",4728
"350",4786
"351",4489
"352",4053
"353",2948
"354",3419
"355",3081
"356",3006
"357",4489
"358",3147
"359",3650
"360",3876
"361",3860
"362",3551
"363",4091
"364",4037
"365",4239
"366",3868
"367",3475
"368",2731
"369",3751
"370",3455
"371",3132
"372",3292
"373",3867
"374",3547
"375",3535
"376",3668
"377",3066
"378",3104
"379",3395
"380",3314
"381",3296
"382",3741
"383",3142
"384",3265
"385",4015
"386",3503
"387",3086
"388",3296
"389",3145
"390",4051
"391",3630
"392",2790
"393",2733
"394",3579
"395",3078
"396",4320
"397",3568
"398",3191
"399",3938
"400",4013
"401",3485
"402",3406
"403",3442
"404",3524
"405",3598
"406",3620
"407",3873
"408",3605
"409",4647
"410",4162
"411",2973
"412",3248
"413",4124
"414",3726
"415",3764
"416",3313
"417",3424
"418",4110
"419",4110
"420",3481
"421",1297
"422",4774
"423",4073
"424",3901
"425",3610
"426",3582
"427",3348
"428",3794
"429",3751
"430",3680
"431",3596
"432",4771
"433",3999
"434",3365
"435",3919
"436",3533
"437",3580
"438",3669
"439",3482
"440",3280
"441",3782
"442",3839
"443",3624
"444",3637
"445",4658
"446",3823
"447",3554
"448",4046
"449",3426
"450",3478
"451",3849
"452",3664
"453",3167
"454",3871
"455",3707
"456",4882
"457",4662
"458",4034
"459",3295
"460",3101
"461",3324
"462",3615
"463",3503
"464",3791
"465",3479
"466",3653
"467",3734
"468",3770
"469",3620
"470",4606
"471",4703
"472",3440
"473",3280
"474",2951
"475",3067
"476",3293
"477",4256
"478",3881
"479",4525
"480",3948
"481",4683
