"","EVI2017"
"1",4755
"2",4768
"3",5166
"4",4265
"5",4515
"6",4799
"7",4760
"8",3934
"9",4070
"10",4026
"11",4803
"12",4787
"13",4668
"14",5464
"15",4414
"16",4240
"17",4174
"18",4459
"19",4524
"20",4932
"21",4665
"22",4552
"23",3993
"24",4872
"25",4640
"26",4963
"27",4961
"28",4559
"29",4740
"30",4318
"31",4825
"32",3910
"33",4752
"34",4380
"35",4609
"36",3733
"37",4251
"38",3856
"39",4124
"40",4640
"41",5286
"42",4381
"43",4854
"44",4516
"45",4364
"46",4426
"47",4435
"48",4794
"49",5181
"50",5036
"51",4487
"52",4927
"53",4711
"54",4078
"55",4324
"56",4311
"57",4608
"58",4483
"59",4281
"60",4397
"61",4649
"62",4331
"63",4612
"64",4865
"65",4738
"66",3837
"67",4350
"68",4548
"69",4413
"70",4471
"71",4819
"72",4736
"73",4468
"74",4686
"75",4188
"76",4695
"77",4535
"78",4244
"79",4706
"80",4491
"81",4468
"82",4281
"83",4119
"84",4369
"85",4742
"86",5248
"87",4423
"88",5057
"89",4654
"90",4236
"91",4308
"92",4028
"93",4407
"94",4659
"95",4763
"96",5050
"97",5009
"98",5380
"99",4692
"100",4713
"101",4271
"102",4327
"103",3833
"104",3867
"105",4511
"106",4867
"107",4908
"108",4773
"109",5029
"110",4750
"111",4399
"112",4635
"113",4795
"114",4588
"115",4244
"116",3691
"117",4036
"118",4239
"119",4505
"120",4971
"121",4958
"122",4089
"123",4484
"124",4353
"125",4574
"126",4554
"127",4341
"128",4408
"129",4666
"130",5050
"131",4922
"132",3907
"133",4849
"134",4487
"135",4414
"136",4083
"137",4771
"138",4481
"139",4177
"140",3871
"141",4883
"142",4323
"143",3859
"144",4497
"145",4488
"146",3850
"147",4316
"148",4811
"149",4148
"150",4123
"151",4100
"152",4377
"153",4266
"154",4266
"155",4038
"156",5557
"157",4403
"158",4871
"159",4229
"160",4349
"161",4399
"162",3867
"163",4065
"164",4093
"165",3967
"166",3375
"167",3073
"168",5093
"169",5075
"170",4366
"171",4302
"172",4387
"173",4590
"174",4197
"175",4055
"176",3917
"177",4454
"178",4957
"179",4424
"180",4494
"181",4652
"182",4158
"183",3995
"184",3820
"185",4111
"186",3923
"187",4700
"188",5091
"189",4552
"190",5593
"191",4623
"192",4311
"193",4582
"194",4603
"195",3940
"196",4442
"197",4042
"198",3891
"199",4255
"200",3746
"201",3857
"202",3859
"203",4570
"204",4390
"205",4814
"206",4680
"207",4819
"208",4464
"209",4093
"210",4065
"211",4184
"212",4040
"213",3758
"214",2833
"215",4354
"216",4423
"217",5044
"218",4132
"219",4752
"220",4607
"221",4169
"222",3799
"223",3679
"224",4030
"225",4158
"226",3821
"227",3402
"228",4903
"229",4650
"230",4740
"231",4711
"232",4710
"233",4968
"234",4548
"235",4269
"236",4369
"237",4447
"238",4567
"239",4295
"240",3934
"241",3929
"242",4226
"243",4637
"244",4750
"245",4318
"246",4476
"247",4117
"248",4142
"249",4557
"250",4161
"251",4081
"252",4414
"253",3580
"254",4806
"255",5022
"256",4303
"257",3906
"258",4397
"259",4220
"260",4549
"261",4672
"262",4621
"263",4092
"264",4201
"265",3388
"266",4813
"267",4657
"268",4891
"269",4870
"270",3869
"271",4203
"272",4470
"273",4584
"274",3963
"275",4451
"276",4401
"277",4519
"278",4360
"279",4634
"280",4913
"281",4972
"282",4839
"283",4722
"284",3614
"285",4277
"286",4192
"287",4247
"288",4724
"289",4416
"290",4111
"291",4026
"292",4801
"293",4842
"294",4994
"295",4947
"296",4427
"297",4278
"298",4660
"299",4185
"300",4229
"301",4303
"302",4509
"303",4276
"304",4295
"305",4306
"306",4701
"307",4939
"308",4406
"309",4786
"310",4984
"311",3918
"312",4295
"313",4296
"314",3859
"315",3912
"316",4583
"317",3941
"318",4057
"319",4484
"320",3957
"321",3592
"322",4637
"323",4892
"324",4525
"325",4017
"326",4326
"327",4956
"328",4593
"329",3980
"330",3766
"331",4480
"332",4499
"333",3742
"334",4220
"335",3876
"336",4410
"337",4122
"338",4192
"339",4845
"340",4439
"341",4079
"342",4063
"343",3057
"344",4295
"345",4319
"346",3756
"347",4231
"348",4784
"349",4584
"350",4703
"351",4990
"352",4512
"353",4158
"354",3342
"355",4268
"356",4204
"357",4990
"358",4480
"359",3535
"360",4824
"361",4817
"362",4898
"363",4533
"364",4581
"365",4517
"366",4686
"367",4648
"368",4056
"369",4172
"370",4334
"371",4432
"372",4492
"373",4535
"374",4246
"375",4604
"376",4714
"377",4540
"378",4747
"379",3703
"380",4661
"381",4603
"382",4960
"383",4263
"384",4607
"385",4752
"386",4013
"387",4214
"388",4603
"389",4407
"390",5006
"391",4243
"392",4445
"393",4671
"394",4544
"395",4126
"396",4726
"397",4440
"398",4133
"399",4700
"400",4748
"401",4109
"402",4174
"403",4388
"404",4555
"405",4480
"406",4770
"407",4778
"408",4695
"409",4919
"410",4616
"411",4929
"412",4050
"413",4550
"414",4076
"415",4490
"416",4617
"417",4040
"418",4589
"419",4589
"420",4026
"421",1521
"422",5269
"423",4547
"424",4446
"425",4551
"426",4294
"427",4345
"428",4258
"429",4750
"430",4609
"431",4524
"432",5242
"433",4529
"434",4579
"435",4347
"436",4627
"437",4774
"438",4778
"439",4329
"440",3985
"441",4073
"442",4754
"443",5169
"444",4931
"445",5148
"446",4423
"447",4568
"448",4802
"449",4260
"450",4704
"451",4837
"452",4740
"453",4859
"454",4400
"455",4283
"456",5161
"457",5058
"458",4496
"459",4893
"460",4605
"461",4266
"462",4529
"463",4746
"464",4552
"465",4767
"466",4595
"467",4066
"468",4460
"469",4851
"470",4964
"471",4984
"472",4384
"473",4509
"474",4461
"475",4709
"476",4348
"477",4837
"478",5119
"479",4082
"480",4122
"481",5537
"482",4913
"483",4965
"484",4431
"485",4287
"486",4483
"487",5016
"488",5073
"489",4637
"490",4367
"491",4964
"492",4702
"493",4181
"494",4495
"495",4431
"496",4351
"497",3920
"498",4052
"499",4406
"500",5102
"501",4803
"502",4493
"503",4462
"504",4746
"505",4471
"506",4328
"507",4461
"508",4494
"509",4710
"510",4596
"511",5054
"512",4839
"513",5269
"514",5397
"515",4631
"516",5006
"517",5494
"518",4600
"519",4312
"520",5041
"521",5260
"522",4742
"523",4991
"524",4902
"525",5165
"526",4784
"527",5246
"528",4962
"529",4711
"530",4766
"531",3960
"532",4706
"533",4643
"534",5004
"535",5093
"536",5109
"537",4402
"538",4851
"539",4884
"540",4920
"541",5071
"542",4439
"543",4912
"544",4538
"545",4294
"546",4594
"547",5353
"548",4641
"549",4599
"550",4402
"551",5113
"552",5179
"553",4717
"554",4494
"555",5331
"556",4290
"557",4921
"558",4855
"559",4798
