"","EVI2011"
"1",4475
"2",4508
"3",4790
"4",4062
"5",4154
"6",4930
"7",4343
"8",4221
"9",3722
"10",4372
"11",5156
"12",5172
"13",4494
"14",5077
"15",3985
"16",3823
"17",3959
"18",4237
"19",3775
"20",4534
"21",4552
"22",4297
"23",4406
"24",4687
"25",4357
"26",4594
"27",4015
"28",4398
"29",4226
"30",3551
"31",4129
"32",3878
"33",3699
"34",3521
"35",4455
"36",4496
"37",4532
"38",4312
"39",4025
"40",4503
"41",4476
"42",4367
"43",4092
"44",3704
"45",4046
"46",3977
"47",4567
"48",4346
"49",5177
"50",4596
"51",4441
"52",4536
"53",4577
"54",3692
"55",4081
"56",4368
"57",4790
"58",4711
"59",4090
"60",4182
"61",4599
"62",4076
"63",3985
"64",4518
"65",4236
"66",4047
"67",3972
"68",4513
"69",4212
"70",3868
"71",4817
"72",4235
"73",4226
"74",4436
"75",4215
"76",4243
"77",4286
"78",4005
"79",4754
"80",4028
"81",4306
"82",4219
"83",4132
"84",3647
"85",3425
"86",4848
"87",4049
"88",4907
"89",4332
"90",4518
"91",4346
"92",3516
"93",3809
"94",3673
"95",3720
"96",4054
"97",4506
"98",5012
"99",4048
"100",4338
"101",4166
"102",4609
"103",4221
"104",3966
"105",3841
"106",3673
"107",3494
"108",4595
"109",4988
"110",4357
"111",4917
"112",4191
"113",4803
"114",4709
"115",4772
"116",4342
"117",4689
"118",4210
"119",3880
"120",5041
"121",4756
"122",4538
"123",4267
"124",3812
"125",4725
"126",4672
"127",4029
"128",4431
"129",4557
"130",5360
"131",4679
"132",4029
"133",4543
"134",4180
"135",4187
"136",4434
"137",3933
"138",4224
"139",4141
"140",3777
"141",4096
"142",3845
"143",4172
"144",3904
"145",3817
"146",3496
"147",4270
"148",4372
"149",4184
"150",3715
"151",3238
"152",4825
"153",4165
"154",4012
"155",4452
"156",5156
"157",4311
"158",4241
"159",3736
"160",4210
"161",4023
"162",3891
"163",3877
"164",3750
"165",3584
"166",4008
"167",3349
"168",5011
"169",5105
"170",3975
"171",4095
"172",3749
"173",4622
"174",4541
"175",4515
"176",4514
"177",4753
"178",4696
"179",4157
"180",4294
"181",4508
"182",4252
"183",3895
"184",4150
"185",4270
"186",4108
"187",5014
"188",4362
"189",4380
"190",5042
"191",4477
"192",3919
"193",4301
"194",4560
"195",3880
"196",4200
"197",4224
"198",4428
"199",3897
"200",4699
"201",4777
"202",4771
"203",4446
"204",4320
"205",4727
"206",4176
"207",4468
"208",4377
"209",4380
"210",4422
"211",4400
"212",4089
"213",4011
"214",2788
"215",4774
"216",4303
"217",4792
"218",4685
"219",4360
"220",4301
"221",3969
"222",4586
"223",4713
"224",4084
"225",4163
"226",4345
"227",3208
"228",5106
"229",4683
"230",4454
"231",4800
"232",4603
"233",5005
"234",4349
"235",4237
"236",4038
"237",3950
"238",4337
"239",4605
"240",4773
"241",4404
"242",4038
"243",3992
"244",4285
"245",3328
"246",4359
"247",4434
"248",4208
"249",4551
"250",4032
"251",3813
"252",3785
"253",4015
"254",4753
"255",5091
"256",4818
"257",4019
"258",3891
"259",3977
"260",3879
"261",4301
"262",4416
"263",3953
"264",4034
"265",3839
"266",4891
"267",4558
"268",4983
"269",4249
"270",3982
"271",4068
"272",4095
"273",3727
"274",3996
"275",4156
"276",3942
"277",4011
"278",4868
"279",4755
"280",4681
"281",4131
"282",4613
"283",4224
"284",3628
"285",4173
"286",3982
"287",4134
"288",3902
"289",4463
"290",4267
"291",4431
"292",5072
"293",4710
"294",3987
"295",4212
"296",4557
"297",4032
"298",4427
"299",3875
"300",4136
"301",3937
"302",4132
"303",4160
"304",4163
"305",4049
"306",4555
"307",4439
"308",4037
"309",3892
"310",4347
"311",3810
"312",4160
"313",4028
"314",4061
"315",3988
"316",4341
"317",3951
"318",4102
"319",4338
"320",3774
"321",3764
"322",4329
"323",4233
"324",4342
"325",4094
"326",3965
"327",4592
"328",4325
"329",4537
"330",4090
"331",3943
"332",4583
"333",3533
"334",4033
"335",3863
"336",4121
"337",4622
"338",4631
"339",4199
"340",4570
"341",3861
"342",4357
"343",4172
"344",4618
"345",4632
"346",4420
"347",4146
"348",4800
"349",4124
"350",4316
"351",4592
"352",4233
"353",4019
"354",4174
"355",4355
"356",4656
"357",4592
"358",4791
"359",3748
"360",4050
"361",4050
"362",3852
"363",3910
"364",4130
"365",4710
"366",4091
"367",4540
"368",3982
"369",4220
"370",4734
"371",4299
"372",4348
"373",4186
"374",4249
"375",3685
"376",4215
"377",4334
"378",4412
"379",2986
"380",4300
"381",4198
"382",4205
"383",4241
"384",4490
"385",4727
"386",4101
"387",4205
"388",4198
"389",4669
"390",4842
"391",4120
"392",3824
"393",3752
"394",4537
"395",4324
"396",4513
"397",4445
"398",4302
"399",3905
"400",4412
"401",3986
"402",4210
"403",4445
"404",4861
"405",3950
"406",4097
"407",4311
"408",4407
"409",4579
"410",4281
"411",3637
"412",3558
"413",4415
"414",4062
"415",4240
"416",4533
"417",4432
"418",4295
"419",4295
"420",3887
"421",1481
"422",4765
"423",4379
"424",3966
"425",4234
"426",4359
"427",4335
"428",4162
"429",4332
"430",4010
"431",4158
"432",5190
"433",4487
"434",4529
"435",3999
"436",4018
"437",4796
"438",4603
"439",4466
"440",3797
"441",4103
"442",4101
"443",4987
"444",4271
"445",5145
"446",4430
"447",4190
"448",4481
"449",4207
"450",4206
"451",4074
"452",4091
"453",3964
"454",4095
"455",4254
"456",5254
"457",5205
"458",4574
"459",4080
"460",4010
"461",4075
"462",4084
"463",4273
"464",3941
"465",4359
"466",4468
"467",4776
"468",4238
"469",4144
"470",4596
"471",5054
"472",4452
"473",4469
"474",4294
"475",3725
"476",4107
"477",4254
"478",4610
"479",3919
"480",4209
"481",4970
"482",4482
"483",4786
"484",4162
"485",4006
"486",4350
"487",4676
"488",4532
"489",4342
"490",4083
"491",5069
"492",4279
"493",4361
"494",4367
"495",4083
"496",3976
"497",3702
"498",4252
"499",4239
"500",4744
"501",4331
"502",4214
"503",4345
"504",4412
"505",4452
"506",3995
"507",4494
"508",4106
"509",4133
"510",4167
"511",4885
"512",4704
"513",5044
"514",4565
"515",4549
"516",4119
"517",5036
"518",4573
"519",4545
"520",4698
"521",5047
"522",4374
"523",4561
"524",4399
"525",4594
"526",4813
"527",5092
"528",4861
"529",4467
"530",4458
"531",4131
"532",4650
"533",4076
"534",4797
"535",3971
"536",4007
"537",4067
"538",4399
"539",4267
"540",4594
"541",5098
"542",3956
"543",4564
"544",4173
"545",4906
"546",5100
"547",4911
"548",4213
"549",4693
"550",4863
"551",5425
"552",4696
"553",4860
"554",4483
"555",5586
"556",4276
"557",5155
"558",4629
"559",4957
"560",4035
"561",4534
"562",3884
"563",3969
"564",5081
"565",4819
"566",4077
"567",4457
"568",4087
"569",4125
"570",4763
"571",4298
"572",5320
"573",4480
"574",4252
"575",4561
"576",4154
"577",4290
"578",4226
"579",5338
"580",4532
"581",3777
"582",3663
"583",4142
"584",4329
"585",5760
"586",4629
"587",4619
"588",4792
"589",4646
"590",5042
"591",4454
"592",4240
"593",4114
"594",4226
"595",5652
"596",4852
"597",4999
"598",5128
"599",4961
"600",4476
"601",5103
"602",5712
"603",4101
"604",5231
"605",5354
"606",4731
"607",5007
"608",5568
"609",4487
"610",4271
"611",5838
"612",3954
"613",4450
"614",5076
"615",4585
"616",4231
"617",4818
"618",3803
"619",4305
"620",4760
"621",5031
"622",5354
"623",4569
"624",4613
"625",4576
"626",5242
"627",4220
"628",5326
"629",5238
"630",5185
"631",5539
"632",4605
"633",4234
"634",4263
"635",5309
"636",4731
"637",4383
"638",4734
"639",4708
"640",4470
"641",4299
"642",5014
"643",5337
"644",5047
"645",4586
"646",4264
"647",4992
"648",5583
"649",4541
"650",4638
"651",5176
"652",4916
"653",5461
"654",4889
"655",5204
"656",4982
"657",5104
"658",5657
"659",5319
"660",5043
"661",4224
"662",4771
"663",4451
"664",5193
"665",4266
"666",4318
"667",5193
"668",4559
"669",4349
"670",4576
"671",4822
"672",4796
"673",4314
"674",5068
"675",4982
"676",4857
"677",4684
"678",4990
"679",4852
"680",4845
"681",4920
"682",5194
