"","EVI2014"
"1",5052
"2",4309
"3",5604
"4",4099
"5",4159
"6",4669
"7",4467
"8",4198
"9",4299
"10",4318
"11",4720
"12",4983
"13",4325
"14",5056
"15",4011
"16",3115
"17",4316
"18",4511
"19",4635
"20",4063
"21",4250
"22",4433
"23",4084
"24",5024
"25",4733
"26",4852
"27",4440
"28",4278
"29",4899
"30",3904
"31",4265
"32",4343
"33",4511
"34",4332
"35",4656
"36",4354
"37",4243
"38",4035
"39",4051
"40",4544
"41",4913
"42",4436
"43",4649
"44",3915
"45",3561
"46",4367
"47",4119
"48",4276
"49",5497
"50",5162
"51",4581
"52",4468
"53",4154
"54",3945
"55",4233
"56",4675
"57",4986
"58",4427
"59",4289
"60",3561
"61",3997
"62",4513
"63",4306
"64",4511
"65",4432
"66",4203
"67",3586
"68",3144
"69",4575
"70",4486
"71",4780
"72",4123
"73",4658
"74",4190
"75",3937
"76",3435
"77",4410
"78",4088
"79",4901
"80",4235
"81",3828
"82",3728
"83",3392
"84",4404
"85",3653
"86",5025
"87",4287
"88",4683
"89",4593
"90",3871
"91",3556
"92",3084
"93",4154
"94",4039
"95",3897
"96",3425
"97",3577
"98",5268
"99",4281
"100",4406
"101",4109
"102",3613
"103",3312
"104",2979
"105",4156
"106",3437
"107",3565
"108",3795
"109",4899
"110",4463
"111",4363
"112",4149
"113",4249
"114",4347
"115",3969
"116",3247
"117",3421
"118",3346
"119",3990
"120",5304
"121",4541
"122",4369
"123",4659
"124",4241
"125",4327
"126",4504
"127",3988
"128",3555
"129",4070
"130",5088
"131",4405
"132",4125
"133",4873
"134",4613
"135",4149
"136",4224
"137",4152
"138",3448
"139",3314
"140",3924
"141",4237
"142",3602
"143",3981
"144",3592
"145",3854
"146",3429
"147",3842
"148",4668
"149",3674
"150",3438
"151",4088
"152",3667
"153",3283
"154",3235
"155",3185
"156",5497
"157",4522
"158",4290
"159",3756
"160",3803
"161",4033
"162",3633
"163",3494
"164",3537
"165",3548
"166",3371
"167",2801
"168",5540
"169",5009
"170",4003
"171",4002
"172",3892
"173",4275
"174",4255
"175",3493
"176",3870
"177",3186
"178",4796
"179",4565
"180",4381
"181",3934
"182",4308
"183",3772
"184",3954
"185",4322
"186",3902
"187",4156
"188",4118
"189",4172
"190",5280
"191",3918
"192",4001
"193",3957
"194",3869
"195",3845
"196",4465
"197",4077
"198",3708
"199",4490
"200",3844
"201",3780
"202",3895
"203",4092
"204",4979
"205",4830
"206",4006
"207",4610
"208",4533
"209",4086
"210",3921
"211",3615
"212",4013
"213",3781
"214",2523
"215",4528
"216",4356
"217",4602
"218",4696
"219",4671
"220",4351
"221",4244
"222",4499
"223",3702
"224",3956
"225",4166
"226",4223
"227",3827
"228",4486
"229",4553
"230",4694
"231",4598
"232",4729
"233",5108
"234",4388
"235",3921
"236",4555
"237",4242
"238",4150
"239",4358
"240",4208
"241",4255
"242",4165
"243",4110
"244",4437
"245",4041
"246",4458
"247",4193
"248",4059
"249",4482
"250",3847
"251",3719
"252",3665
"253",3092
"254",3972
"255",4873
"256",4870
"257",3899
"258",4287
"259",4291
"260",4476
"261",3821
"262",4339
"263",3887
"264",3806
"265",2982
"266",4106
"267",4754
"268",4729
"269",4486
"270",3852
"271",3788
"272",4664
"273",4336
"274",3734
"275",3395
"276",3635
"277",3557
"278",4253
"279",4132
"280",4779
"281",4908
"282",4632
"283",4467
"284",3584
"285",3701
"286",4306
"287",4183
"288",4721
"289",4460
"290",3681
"291",3612
"292",4125
"293",4837
"294",4488
"295",4327
"296",4218
"297",4449
"298",4701
"299",4363
"300",4505
"301",4395
"302",4481
"303",3911
"304",4205
"305",3250
"306",3927
"307",4071
"308",4243
"309",4283
"310",4996
"311",3953
"312",4485
"313",3494
"314",4314
"315",4141
"316",4587
"317",3999
"318",3047
"319",3504
"320",3715
"321",3566
"322",3703
"323",3577
"324",4592
"325",4049
"326",4420
"327",4817
"328",4807
"329",4207
"330",4297
"331",4491
"332",3896
"333",3610
"334",4335
"335",3729
"336",3905
"337",3707
"338",3007
"339",4402
"340",4565
"341",4326
"342",4368
"343",4500
"344",3777
"345",3942
"346",4410
"347",4143
"348",4405
"349",4489
"350",4656
"351",4915
"352",4119
"353",4326
"354",4164
"355",4527
"356",4276
"357",4915
"358",4336
"359",4498
"360",4384
"361",4026
"362",4581
"363",4312
"364",4554
"365",4496
"366",4505
"367",4437
"368",4189
"369",3461
"370",4376
"371",3829
"372",4217
"373",4390
"374",4567
"375",4326
"376",4480
"377",4722
"378",3984
"379",4086
"380",4156
"381",4542
"382",4679
"383",4040
"384",3873
"385",4234
"386",3510
"387",3391
"388",4542
"389",4411
"390",4573
"391",4609
"392",4550
"393",4655
"394",4285
"395",4233
"396",4619
"397",4047
"398",4151
"399",4410
"400",4767
"401",4205
"402",4677
"403",4747
"404",4605
"405",4484
"406",4361
"407",4525
"408",4459
"409",4992
"410",4503
"411",3857
"412",4172
"413",4496
"414",4519
"415",4387
"416",4456
"417",4311
"418",4777
"419",4777
"420",4270
"421",1215
"422",4900
"423",4640
"424",4414
"425",4198
"426",4433
"427",4138
"428",4142
"429",3759
"430",4403
"431",4505
"432",5345
"433",4693
"434",4667
"435",4157
"436",4308
"437",4265
"438",4277
"439",4227
"440",3466
"441",4399
"442",4473
"443",5077
"444",4505
"445",5482
"446",4655
"447",4860
"448",4849
"449",4197
"450",4454
"451",4072
"452",4238
"453",4322
"454",3728
"455",4327
"456",4983
"457",5197
"458",4933
"459",4859
"460",4749
"461",4702
"462",4499
"463",4044
"464",3977
"465",4159
"466",4258
"467",3939
"468",4620
"469",4396
"470",4661
"471",5205
"472",4545
"473",4265
"474",4472
"475",4121
"476",4502
"477",4677
"478",4182
"479",4184
"480",4514
"481",4948
"482",4369
"483",4991
"484",4501
"485",4395
"486",4412
"487",4734
"488",4205
"489",4180
"490",3917
"491",5017
"492",4575
"493",4285
"494",4416
"495",4451
"496",4198
"497",3942
"498",4433
"499",3696
"500",4686
"501",4664
"502",4384
"503",4390
"504",4906
"505",4083
"506",4193
"507",3944
"508",4494
"509",3974
"510",4609
"511",4210
"512",4645
"513",4829
"514",4934
"515",3633
"516",4283
"517",5230
"518",4212
"519",4480
"520",5227
"521",5308
"522",4728
"523",4669
"524",3972
"525",5290
"526",5334
"527",5471
"528",4938
"529",4787
"530",4137
"531",4417
"532",4362
"533",4355
"534",5117
"535",5043
"536",4830
"537",4209
"538",4591
"539",5018
"540",5407
"541",5507
"542",4386
"543",4846
"544",4353
"545",5020
"546",4988
"547",5617
"548",4401
"549",4420
"550",5169
"551",5419
"552",5257
"553",5019
"554",4867
"555",5718
"556",4665
"557",5111
"558",5157
"559",5144
"560",4187
"561",4438
"562",4306
"563",4532
"564",5492
"565",5142
"566",4666
"567",4708
"568",4072
"569",4680
"570",4846
"571",4732
"572",5620
"573",4900
"574",4478
"575",4301
"576",4399
"577",4738
"578",4968
"579",5487
"580",5100
"581",4677
"582",4155
"583",4479
"584",4354
"585",5790
"586",4916
"587",5040
"588",5251
"589",4571
"590",5021
"591",4799
"592",4455
"593",4076
"594",4234
"595",5708
"596",5014
"597",5202
"598",4777
"599",5573
"600",4404
"601",5186
"602",5536
"603",3864
"604",5268
"605",5703
"606",4850
"607",4963
"608",5949
"609",5090
"610",3860
"611",5864
"612",4472
"613",4781
"614",5523
"615",4823
"616",4961
"617",5137
"618",4289
"619",4261
"620",5091
"621",5337
"622",5633
"623",5209
"624",4945
"625",4497
"626",5398
"627",4561
"628",5771
"629",5696
"630",6039
"631",5672
"632",4452
"633",4573
"634",4392
"635",5736
"636",5056
"637",4179
"638",5391
"639",4983
"640",4727
"641",5143
"642",4894
"643",5421
"644",5330
"645",4986
"646",4594
"647",5100
"648",5792
"649",4720
"650",5028
"651",5583
"652",5219
"653",5280
"654",5227
"655",5132
"656",4785
"657",4717
"658",5784
"659",5103
"660",5794
"661",4600
"662",5132
"663",4713
"664",4932
"665",4628
"666",4467
"667",5229
"668",4626
"669",4679
"670",4887
"671",5416
"672",5071
"673",4501
"674",5427
"675",5268
"676",4773
"677",4810
"678",5309
"679",5377
"680",4836
"681",5567
"682",5445
"683",5586
"684",5461
"685",5464
"686",5562
"687",5822
"688",4699
"689",5172
"690",5507
"691",5104
"692",4728
"693",4968
"694",5222
"695",5106
"696",4442
"697",5015
"698",5308
"699",5615
"700",4939
"701",5244
"702",5055
"703",5109
"704",5087
"705",5491
"706",5192
"707",5751
"708",5130
"709",5072
"710",5491
"711",4673
"712",5346
"713",5555
"714",5711
"715",4993
"716",4356
"717",4624
"718",4987
"719",4590
"720",4668
"721",5445
"722",4672
"723",5495
"724",5350
"725",5462
"726",5242
"727",5238
"728",5003
"729",4157
"730",4515
"731",5016
"732",5153
"733",5246
"734",5959
"735",4833
"736",5001
"737",5048
"738",4847
"739",4968
"740",5105
"741",5120
"742",5274
"743",5461
"744",4442
"745",4515
"746",5097
"747",5538
"748",5791
"749",4890
"750",5415
"751",5335
"752",5636
"753",4644
"754",4810
"755",4451
"756",4445
"757",5592
"758",5484
"759",5788
"760",5388
"761",4866
"762",4501
"763",4826
"764",4631
"765",4459
"766",4126
"767",4232
"768",4502
"769",4493
"770",5014
"771",4787
"772",4925
"773",4939
"774",4791
"775",4440
"776",4075
"777",4952
"778",4998
"779",5072
"780",4688
"781",5068
"782",4692
"783",4676
"784",5287
"785",4778
"786",4676
"787",4953
"788",5473
"789",5303
"790",4668
"791",4860
"792",4509
"793",4530
"794",5125
"795",4601
"796",4612
"797",5393
"798",5130
"799",4284
"800",5347
"801",4602
"802",4690
"803",4648
"804",4699
"805",4687
"806",4796
"807",5002
"808",4521
"809",4542
"810",4519
"811",5051
"812",5031
"813",5138
"814",5276
"815",4916
"816",4931
"817",5099
"818",4649
"819",5073
"820",4951
"821",4295
"822",4217
"823",4978
"824",4739
"825",4739
"826",4963
"827",5387
"828",5078
"829",5351
"830",4853
"831",4909
"832",4537
"833",4930
"834",5126
"835",4517
"836",3709
"837",4781
"838",4484
"839",5375
"840",5001
"841",5246
"842",4154
"843",4889
"844",4632
"845",3943
"846",5127
"847",4664
"848",4124
"849",4918
"850",4339
"851",4162
"852",4515
"853",5697
"854",4708
"855",5382
"856",4506
"857",4545
"858",4572
"859",4629
"860",4792
"861",4903
"862",3766
"863",4656
"864",5028
"865",4750
"866",5326
"867",4252
"868",4288
"869",4352
"870",4906
"871",5183
"872",4724
"873",4924
"874",5278
"875",4783
"876",4435
"877",5245
"878",4811
"879",4284
"880",4988
"881",4641
"882",5062
"883",4943
"884",4669
"885",4709
"886",4375
"887",5033
"888",5537
"889",4186
"890",4959
"891",4834
"892",5102
"893",4578
"894",4062
"895",4326
"896",4488
"897",5178
"898",4914
"899",5186
"900",4191
"901",4625
"902",4655
"903",5029
"904",4956
"905",5611
"906",5118
"907",5195
"908",4841
"909",4156
"910",5195
"911",4046
"912",4989
"913",4766
"914",3754
"915",5058
"916",4573
"917",4409
"918",4043
"919",3874
"920",4628
"921",4124
"922",5044
"923",4318
"924",5173
"925",5244
"926",4196
"927",5157
"928",5398
"929",4293
"930",5027
"931",4917
"932",3918
"933",4696
"934",4238
"935",4840
"936",4339
"937",4702
"938",4802
"939",4733
"940",5101
"941",4757
"942",4734
"943",4814
"944",4534
"945",3626
"946",4322
"947",4952
"948",3280
"949",4355
"950",4730
"951",4261
"952",4109
"953",4431
"954",4663
"955",4400
"956",4947
"957",4539
"958",4686
"959",4172
"960",4173
"961",4757
"962",4288
"963",4566
"964",5472
"965",4687
"966",4015
"967",4931
"968",4957
"969",4399
"970",3808
"971",4991
"972",4350
"973",4503
"974",4450
"975",5420
"976",4782
"977",4751
"978",4792
"979",4773
"980",4705
"981",4522
"982",4332
"983",4682
"984",4550
"985",4342
"986",5265
"987",4271
"988",4592
"989",4922
"990",4833
"991",4935
"992",4432
"993",4481
"994",2810
"995",4693
"996",5131
"997",4026
"998",4579
"999",4047
"1000",4786
"1001",4393
"1002",4682
"1003",4813
"1004",4226
"1005",NA
"1006",4566
"1007",4260
"1008",4280
"1009",4641
"1010",3601
"1011",3920
"1012",3806
"1013",4336
"1014",3847
"1015",4033
"1016",3999
"1017",4240
"1018",3659
"1019",3882
"1020",NA
"1021",4631
"1022",4433
"1023",4083
"1024",3702
"1025",3870
"1026",4643
"1027",4236
"1028",4349
"1029",4449
"1030",3934
"1031",3932
"1032",3980
"1033",3992
"1034",4173
"1035",3901
"1036",3804
"1037",3937
"1038",4232
"1039",3813
"1040",4711
"1041",4405
"1042",5093
"1043",4616
"1044",4418
"1045",3890
"1046",NA
"1047",4268
"1048",3736
"1049",4020
"1050",4217
"1051",3661
"1052",4664
"1053",4641
"1054",4477
"1055",4050
"1056",3632
"1057",3934
"1058",3801
"1059",4636
"1060",4393
"1061",4245
"1062",4086
"1063",3748
"1064",4502
"1065",4583
"1066",4396
"1067",3707
"1068",4120
"1069",4581
"1070",4234
"1071",4640
"1072",4291
"1073",4192
"1074",4729
"1075",3781
"1076",3848
"1077",3906
"1078",4670
"1079",4697
"1080",3968
"1081",3066
"1082",4420
"1083",3510
"1084",3854
"1085",3791
"1086",4162
"1087",3482
"1088",3287
"1089",4291
"1090",4168
"1091",4878
"1092",3741
"1093",4335
"1094",4151
"1095",4088
"1096",3532
"1097",4376
"1098",4093
"1099",3947
"1100",4311
"1101",3930
"1102",3500
"1103",4114
"1104",4053
"1105",4280
"1106",3907
"1107",4172
"1108",4663
"1109",4001
"1110",4313
"1111",4518
"1112",3652
"1113",4269
"1114",3909
"1115",3958
"1116",4475
"1117",4384
"1118",3625
"1119",3612
"1120",3809
"1121",3961
"1122",3520
"1123",3687
"1124",3546
"1125",4253
"1126",3663
"1127",4310
"1128",4221
"1129",4048
"1130",3734
"1131",3993
"1132",4139
"1133",4066
"1134",3965
"1135",3566
"1136",4680
"1137",4997
"1138",4446
"1139",4137
"1140",4183
"1141",4223
"1142",4104
"1143",4172
"1144",4378
"1145",3715
"1146",4086
"1147",4057
"1148",4097
"1149",3788
"1150",3966
"1151",4823
"1152",4484
"1153",4094
"1154",3879
"1155",4304
"1156",4529
"1157",4231
"1158",4441
"1159",4351
"1160",4755
"1161",4242
"1162",4248
"1163",3875
"1164",3662
"1165",4497
"1166",5043
"1167",4244
"1168",4148
"1169",3986
"1170",3713
"1171",4272
"1172",3074
"1173",4182
"1174",3884
"1175",3470
"1176",4334
"1177",4338
