"","NDVI2014"
"1",7804
"2",7568
"3",7589
"4",7442
"5",7010
"6",7922
"7",7717
"8",7546
"9",7394
"10",7796
"11",7207
"12",7712
"13",7380
"14",7984
"15",6978
"16",5936
"17",6450
"18",7130
"19",6877
"20",6065
"21",7472
"22",7141
"23",7326
"24",7998
"25",7422
"26",7130
"27",7069
"28",5992
"29",7042
"30",6768
"31",5841
"32",7416
"33",6896
"34",7302
"35",7227
"36",7762
"37",7277
"38",7284
"39",7182
"40",7883
"41",7642
"42",7338
"43",7907
"44",7111
"45",6302
"46",6234
"47",6757
"48",7705
"49",8484
"50",7992
"51",7064
"52",7755
"53",7499
"54",7655
"55",7301
"56",7158
"57",8296
"58",7416
"59",7715
"60",6504
"61",6812
"62",7528
"63",7649
"64",7503
"65",7299
"66",6844
"67",6238
"68",5200
"69",7498
"70",7197
"71",7373
"72",7258
"73",7033
"74",7132
"75",7110
"76",6290
"77",7619
"78",7068
"79",7941
"80",7500
"81",7487
"82",6777
"83",6403
"84",6850
"85",6734
"86",8085
"87",8147
"88",7791
"89",6825
"90",6567
"91",6816
"92",5501
"93",5642
"94",6359
"95",5523
"96",6354
"97",6481
"98",8127
"99",7544
"100",7657
"101",6912
"102",6993
"103",6787
"104",5694
"105",5629
"106",5509
"107",5393
"108",5577
"109",8081
"110",7547
"111",6992
"112",7432
"113",6752
"114",7104
"115",6211
"116",6074
"117",6361
"118",5242
"119",5470
"120",8030
"121",7392
"122",7052
"123",7410
"124",6678
"125",7715
"126",6959
"127",7112
"128",5907
"129",6590
"130",7543
"131",7448
"132",7026
"133",7973
"134",7888
"135",7230
"136",6581
"137",6698
"138",5790
"139",5119
"140",5165
"141",7244
"142",6465
"143",6919
"144",6285
"145",6992
"146",6815
"147",6885
"148",7682
"149",6508
"150",6359
"151",6915
"152",5965
"153",6013
"154",6280
"155",5112
"156",8077
"157",7363
"158",7006
"159",5935
"160",6843
"161",6867
"162",5561
"163",5312
"164",5425
"165",5875
"166",5433
"167",4523
"168",8459
"169",7863
"170",7166
"171",6542
"172",6032
"173",6863
"174",7045
"175",5617
"176",6492
"177",5949
"178",7948
"179",7675
"180",7918
"181",6850
"182",7567
"183",7256
"184",7063
"185",6948
"186",5954
"187",6870
"188",6032
"189",6438
"190",7994
"191",7057
"192",6969
"193",6572
"194",7468
"195",7404
"196",7752
"197",6514
"198",6934
"199",7231
"200",5783
"201",6877
"202",6608
"203",6105
"204",7430
"205",7742
"206",7249
"207",7437
"208",7131
"209",7053
"210",7410
"211",6883
"212",6340
"213",6287
"214",3840
"215",7387
"216",6626
"217",7491
"218",8229
"219",7408
"220",6908
"221",7223
"222",7261
"223",6980
"224",6066
"225",7291
"226",7257
"227",5725
"228",6792
"229",7771
"230",7714
"231",7513
"232",7769
"233",7942
"234",7806
"235",6431
"236",7454
"237",7183
"238",6696
"239",7492
"240",7264
"241",7058
"242",7096
"243",6865
"244",6824
"245",7355
"246",7363
"247",7245
"248",7530
"249",7769
"250",6083
"251",6542
"252",5740
"253",4990
"254",7140
"255",7902
"256",7796
"257",5588
"258",5983
"259",7579
"260",7440
"261",7587
"262",6798
"263",5993
"264",6119
"265",4397
"266",6222
"267",8024
"268",7842
"269",7687
"270",6595
"271",6502
"272",7293
"273",7286
"274",6471
"275",5103
"276",5449
"277",5787
"278",5830
"279",6208
"280",7367
"281",8086
"282",7887
"283",7442
"284",6847
"285",6855
"286",6634
"287",6455
"288",7469
"289",7362
"290",4614
"291",5167
"292",6686
"293",7942
"294",7270
"295",6764
"296",6469
"297",7388
"298",7714
"299",7525
"300",7421
"301",7213
"302",7735
"303",6268
"304",7202
"305",5226
"306",6437
"307",7019
"308",7525
"309",7223
"310",7753
"311",7547
"312",7903
"313",5885
"314",7743
"315",7119
"316",7906
"317",7248
"318",5385
"319",5805
"320",5235
"321",5341
"322",5600
"323",5429
"324",7415
"325",7263
"326",7508
"327",7518
"328",7140
"329",6738
"330",6910
"331",7047
"332",6621
"333",6370
"334",7148
"335",6123
"336",5473
"337",6497
"338",5680
"339",7412
"340",7360
"341",7212
"342",6808
"343",6676
"344",6623
"345",6787
"346",6780
"347",7601
"348",7089
"349",7617
"350",7580
"351",7931
"352",6893
"353",7260
"354",6119
"355",6927
"356",7146
"357",7931
"358",7105
"359",7854
"360",6248
"361",7283
"362",7317
"363",8056
"364",8284
"365",7868
"366",8013
"367",6800
"368",7655
"369",6975
"370",6986
"371",6688
"372",7500
"373",6983
"374",7272
"375",7383
"376",7742
"377",8067
"378",7566
"379",7095
"380",7088
"381",7602
"382",7621
"383",7118
"384",7402
"385",7233
"386",6751
"387",5657
"388",7602
"389",7126
"390",7479
"391",7004
"392",7443
"393",7078
"394",7285
"395",7560
"396",7276
"397",7236
"398",7342
"399",7553
"400",7884
"401",7136
"402",7691
"403",7642
"404",6731
"405",7146
"406",7804
"407",7986
"408",7992
"409",7744
"410",7860
"411",7089
"412",6862
"413",7206
"414",7243
"415",5824
"416",7717
"417",6869
"418",7921
"419",7921
"420",6959
"421",3130
"422",8018
"423",8244
"424",7400
"425",7422
"426",7872
"427",7712
"428",6874
"429",6700
"430",8170
"431",7803
"432",8238
"433",7904
"434",7935
"435",7965
"436",7464
"437",7384
"438",5928
"439",6323
"440",5498
"441",7793
"442",7400
"443",7519
"444",7412
"445",8146
"446",7685
"447",7664
"448",7595
"449",7248
"450",7626
"451",7416
"452",5693
"453",6307
"454",7131
