"","EVI2010"
"1",4304
"2",4920
"3",4317
"4",3734
"5",3356
"6",4003
"7",3886
"8",3148
"9",3285
"10",4606
"11",4345
"12",4052
"13",3805
"14",4656
"15",3102
"16",2678
"17",2789
"18",3458
"19",2999
"20",4341
"21",4019
"22",3421
"23",3675
"24",4033
"25",3979
"26",3777
"27",3700
"28",2917
"29",4097
"30",3375
"31",3737
"32",4178
"33",4254
"34",3970
"35",4182
"36",4289
"37",3713
"38",3976
"39",4115
"40",3863
"41",4074
"42",3853
"43",3725
"44",3160
"45",3715
"46",3430
"47",4504
"48",4508
"49",4759
"50",4150
"51",4078
"52",4502
"53",4190
"54",3925
"55",3111
"56",4116
"57",4315
"58",3871
"59",4407
"60",4519
"61",4913
"62",4947
"63",3686
"64",4288
"65",3878
"66",3607
"67",3006
"68",4677
"69",4976
"70",4259
"71",3999
"72",3990
"73",3514
"74",3977
"75",3441
"76",4834
"77",4616
"78",3688
"79",4293
"80",3748
"81",3315
"82",4646
"83",4970
"84",4167
"85",4103
"86",4129
"87",3594
"88",4274
"89",4032
"90",3212
"91",4474
"92",4443
"93",4564
"94",4608
"95",4171
"96",4571
"97",3967
"98",3848
"99",3659
"100",4312
"101",3997
"102",4245
"103",4086
"104",4099
"105",4164
"106",4365
"107",3858
"108",4087
"109",4351
"110",3766
"111",4232
"112",3933
"113",4853
"114",4845
"115",3909
"116",3630
"117",4615
"118",4467
"119",4434
"120",4519
"121",4533
"122",3340
"123",3614
"124",3535
"125",4263
"126",4466
"127",4387
"128",3434
"129",4424
"130",4443
"131",3370
"132",3942
"133",4133
"134",3845
"135",3664
"136",4567
"137",4223
"138",3894
"139",3889
"140",3917
"141",3971
"142",3417
"143",3387
"144",3322
"145",4202
"146",3136
"147",3687
"148",3361
"149",3690
"150",3744
"151",3551
"152",3786
"153",3604
"154",3476
"155",3391
"156",4606
"157",3591
"158",4107
"159",3630
"160",4498
"161",4405
"162",4030
"163",4168
"164",4035
"165",3946
"166",3483
"167",2812
"168",4454
"169",4551
"170",3825
"171",4146
"172",4248
"173",3807
"174",3791
"175",4763
"176",4414
"177",4187
"178",4159
"179",3356
"180",4184
"181",3874
"182",4001
"183",3473
"184",4431
"185",4461
"186",4331
"187",4688
"188",3247
"189",3693
"190",4308
"191",3798
"192",4094
"193",4040
"194",4173
"195",4208
"196",4309
"197",3966
"198",4205
"199",3583
"200",3570
"201",3053
"202",3415
"203",3513
"204",4360
"205",4074
"206",3795
"207",4094
"208",4469
"209",3637
"210",4297
"211",3731
"212",4418
"213",4105
"214",2414
"215",4624
"216",3312
"217",4191
"218",3579
"219",3679
"220",4030
"221",4042
"222",4748
"223",3690
"224",4242
"225",3860
"226",3666
"227",3606
"228",4036
"229",4446
"230",4284
"231",4538
"232",4077
"233",4533
"234",4110
"235",3660
"236",4388
"237",3969
"238",4175
"239",4105
"240",2866
"241",4430
"242",3511
"243",3811
"244",4070
"245",4368
"246",4058
"247",4659
"248",4205
"249",4673
"250",3485
"251",4015
"252",3469
"253",3446
"254",4605
"255",4846
"256",3316
"257",4002
"258",3672
"259",3642
"260",4566
"261",3598
"262",3574
"263",3694
"264",3778
"265",3337
"266",3620
"267",4317
"268",3918
"269",4079
"270",3558
"271",4664
"272",4260
"273",3950
"274",4211
"275",3712
"276",3992
"277",4038
"278",3822
"279",2882
"280",3900
"281",3926
"282",4325
"283",4127
"284",3334
"285",4628
"286",3838
"287",4619
"288",3667
"289",4520
"290",4205
"291",3993
"292",4004
"293",3538
"294",3920
"295",4458
"296",4517
"297",3798
"298",4344
"299",4431
"300",2725
"301",4253
"302",3780
"303",4749
"304",4384
"305",4008
"306",3924
"307",4295
"308",3992
"309",3538
"310",3729
"311",3343
"312",3664
"313",3904
"314",4167
"315",3027
"316",4625
"317",4155
"318",4196
"319",4447
"320",4111
"321",2903
"322",3674
"323",4025
"324",5095
"325",4344
"326",3476
"327",3610
"328",3791
"329",3764
"330",3537
"331",4018
"332",2992
"333",3858
"334",3907
"335",3854
"336",4326
"337",3928
"338",4160
"339",3779
"340",4597
"341",3566
"342",2920
"343",3189
"344",3443
"345",3566
"346",3270
"347",4111
"348",3780
"349",4190
"350",4656
"351",3954
"352",3503
"353",3429
"354",3264
"355",2680
"356",3229
"357",3954
"358",3910
"359",3704
"360",4198
"361",3426
"362",4376
"363",3594
"364",3842
"365",4144
"366",4092
"367",3679
"368",3075
"369",4429
"370",4049
"371",3944
"372",4078
"373",4542
"374",3883
"375",4241
"376",3392
"377",3461
"378",3525
"379",3485
"380",3160
"381",4389
"382",4518
"383",3660
"384",3922
"385",3697
"386",3837
"387",3746
"388",4389
"389",3701
"390",4121
"391",3232
"392",4049
"393",4379
"394",3283
"395",4176
"396",4342
"397",3819
"398",4517
"399",4251
"400",3978
"401",3231
"402",3440
"403",3258
"404",4138
"405",3461
"406",4353
"407",4569
"408",3854
"409",4252
"410",3986
"411",3538
"412",2830
"413",3586
"414",3761
"415",3000
"416",3598
"417",3898
"418",4258
"419",4258
"420",4181
"421",1461
"422",4139
"423",3857
"424",4007
"425",3302
"426",3027
"427",3498
"428",3487
"429",3876
"430",4385
"431",4304
"432",3783
"433",3861
"434",3808
"435",3276
"436",4257
"437",4140
"438",2819
"439",3421
"440",2687
"441",3915
"442",3597
"443",4150
