"","NDVI2012"
"1",7478
"2",5882
"3",6953
"4",6434
"5",6404
"6",7509
"7",6693
"8",6040
"9",5491
"10",6810
"11",6867
"12",7131
"13",5572
"14",7265
"15",5733
"16",5960
"17",5771
"18",5604
"19",5412
"20",5969
"21",7114
"22",6791
"23",6160
"24",7324
"25",7085
"26",6996
"27",6414
"28",6035
"29",5057
"30",4616
"31",5145
"32",4771
"33",7143
"34",5265
"35",5803
"36",6550
"37",5756
"38",5969
"39",6380
"40",7545
"41",7148
"42",6720
"43",6575
"44",5857
"45",5130
"46",5729
"47",6077
"48",6827
"49",7764
"50",7362
"51",6846
"52",6142
"53",5595
"54",5485
"55",5256
"56",5160
"57",7702
"58",6846
"59",6173
"60",5161
"61",5231
"62",4956
"63",5092
"64",5586
"65",6389
"66",6360
"67",5975
"68",4365
"69",5845
"70",4647
"71",6952
"72",6478
"73",7074
"74",5507
"75",5282
"76",5359
"77",3833
"78",5561
"79",7225
"80",6602
"81",5440
"82",6724
"83",5322
"84",5230
"85",3828
"86",7223
"87",6897
"88",7341
"89",6835
"90",5262
"91",6196
"92",5230
"93",4545
"94",4833
"95",4088
"96",3918
"97",4319
"98",7612
"99",6763
"100",6825
"101",5945
"102",6220
"103",5256
"104",4611
"105",4860
"106",4932
"107",4037
"108",4019
"109",7582
"110",6839
"111",6048
"112",5389
"113",5957
"114",6583
"115",6353
"116",5914
"117",6210
"118",4941
"119",4404
"120",7309
"121",7000
"122",6349
"123",6545
"124",6266
"125",6687
"126",5907
"127",6762
"128",6089
"129",5771
"130",7024
"131",6673
"132",6430
"133",7262
"134",7046
"135",6081
"136",6741
"137",6266
"138",5168
"139",5218
"140",4637
"141",5796
"142",5832
"143",6657
"144",6046
"145",6304
"146",5842
"147",6439
"148",6644
"149",5842
"150",5172
"151",5802
"152",6781
"153",6153
"154",4838
"155",4403
"156",7649
"157",6448
"158",6272
"159",5846
"160",6491
"161",6001
"162",4975
"163",4929
"164",4885
"165",4444
"166",5033
"167",3903
"168",7708
"169",7588
"170",6558
"171",5282
"172",6089
"173",6406
"174",6019
"175",5381
"176",4594
"177",6322
"178",6976
"179",7211
"180",6642
"181",6220
"182",6062
"183",6048
"184",6118
"185",6402
"186",5306
"187",6130
"188",5856
"189",6451
"190",7241
"191",5664
"192",6840
"193",6283
"194",6132
"195",5987
"196",4830
"197",5429
"198",5346
"199",6184
"200",4276
"201",6268
"202",5690
"203",6085
"204",6017
"205",7497
"206",6776
"207",6180
"208",5798
"209",7145
"210",5826
"211",4802
"212",4572
"213",5638
"214",2864
"215",6093
"216",5494
"217",7071
"218",6665
"219",5871
"220",5431
"221",5722
"222",5021
"223",4588
"224",5256
"225",5170
"226",5056
"227",4895
