"","NDVI2018"
"1",8097
"2",6099
"3",7800
"4",7888
"5",7562
"6",6679
"7",8163
"8",7519
"9",7978
"10",6323
"11",7040
"12",5125
"13",6600
"14",8086
"15",8214
"16",8221
"17",8202
"18",8291
"19",8303
"20",8347
"21",6068
"22",6402
"23",6350
"24",5533
"25",5033
"26",4894
"27",5976
"28",7831
"29",8193
"30",8205
"31",8383
"32",8217
"33",8079
"34",8144
"35",5433
"36",5714
"37",6985
"38",7205
"39",6136
"40",7944
"41",4657
"42",7094
"43",7653
"44",4829
"45",6018
"46",7387
"47",6283
"48",6995
"49",8202
"50",7916
"51",4601
"52",8002
"53",8160
"54",7748
"55",7266
"56",7246
"57",7786
"58",4994
"59",6542
"60",8163
"61",7945
"62",8177
"63",7943
"64",5549
"65",6292
"66",7052
"67",8242
"68",7955
"69",8198
"70",8246
"71",7909
"72",7175
"73",4470
"74",7102
"75",8059
"76",8162
"77",8145
"78",7631
"79",6404
"80",4580
"81",7245
"82",7920
"83",7973
"84",8052
"85",8138
"86",8102
"87",7304
"88",5907
"89",7126
"90",7078
"91",6739
"92",7636
"93",7974
"94",8213
"95",8234
"96",8261
"97",8282
"98",8273
"99",7626
"100",7429
"101",7686
"102",8150
"103",8050
"104",7241
"105",7832
"106",7891
"107",8055
"108",8215
"109",8431
"110",8477
"111",8190
"112",7420
"113",7950
"114",8116
"115",8158
"116",7794
"117",7992
"118",8052
"119",7870
"120",8068
"121",7965
"122",8515
"123",8028
"124",8056
"125",8161
"126",7904
"127",8111
"128",8090
"129",8226
"130",7620
"131",7720
"132",8028
"133",8113
"134",8301
"135",8344
"136",8078
"137",8146
"138",8063
"139",7759
"140",8145
"141",8172
"142",8283
"143",8154
"144",8232
"145",8043
"146",8136
"147",8158
"148",8304
"149",8333
"150",8212
"151",8071
"152",7919
"153",8081
"154",8117
"155",8152
"156",8156
"157",8038
"158",8097
"159",7975
"160",7729
"161",8136
"162",8300
"163",8116
"164",7959
"165",7810
"166",7207
"167",6868
"168",8135
"169",8088
"170",7911
"171",7916
"172",7643
"173",8132
"174",8240
"175",8130
"176",8298
"177",4625
"178",8232
"179",7974
"180",7983
"181",7902
"182",7925
"183",7956
"184",7938
"185",8074
"186",8088
"187",5486
"188",3536
"189",3956
"190",7229
"191",7846
"192",7961
