"","NDVI2011"
"1",7911
"2",7235
"3",7502
"4",7496
"5",6897
"6",7983
"7",7559
"8",7496
"9",7094
"10",7814
"11",7528
"12",8009
"13",6920
"14",8233
"15",6939
"16",6995
"17",7782
"18",7590
"19",6819
"20",7236
"21",7819
"22",7360
"23",7899
"24",7925
"25",7845
"26",7523
"27",7054
"28",6915
"29",7039
"30",7828
"31",6361
"32",6417
"33",6711
"34",6534
"35",7203
"36",7800
"37",7983
"38",8004
"39",7718
"40",7940
"41",7739
"42",7745
"43",7399
"44",6257
"45",7300
"46",6440
"47",7637
"48",7556
"49",8584
"50",7682
"51",7773
"52",6558
"53",6656
"54",7008
"55",7660
"56",7185
"57",8321
"58",7984
"59",7468
"60",6880
"61",7608
"62",6782
"63",8021
"64",7649
"65",7802
"66",7319
"67",7626
"68",7392
"69",7764
"70",7016
"71",7663
"72",7651
"73",7685
"74",7344
"75",7274
"76",7720
"77",7926
"78",7206
"79",7957
"80",7304
"81",8041
"82",7479
"83",7748
"84",7225
"85",6691
"86",8069
"87",7844
"88",8297
"89",7581
"90",7777
"91",7565
"92",7174
"93",6329
"94",7354
"95",6949
"96",6749
"97",7032
"98",7952
"99",7511
"100",8053
"101",7248
"102",7678
"103",7624
"104",6893
"105",7113
"106",6696
"107",6550
"108",7274
"109",8322
"110",7942
"111",7643
"112",7207
"113",7558
"114",7687
"115",7468
"116",7557
"117",7198
"118",7037
"119",6812
"120",8070
"121",7805
"122",8207
"123",7293
"124",7055
"125",8342
"126",7774
"127",7363
"128",7887
"129",6741
"130",8178
"131",7898
"132",7335
"133",7769
"134",7585
"135",7751
"136",7603
"137",7484
"138",6889
"139",6479
"140",6755
"141",7054
"142",6993
"143",7445
"144",7227
"145",7450
"146",7594
"147",6709
"148",7247
"149",6980
"150",7175
"151",6011
"152",7832
"153",7968
"154",7762
"155",7300
"156",8074
"157",7398
"158",7141
"159",7116
"160",6925
"161",7740
"162",6743
"163",7317
"164",6632
"165",6351
"166",5908
"167",5039
"168",8388
"169",7966
"170",6999
"171",6846
"172",5227
"173",6978
"174",7625
"175",7784
"176",7602
"177",7029
"178",7649
"179",7930
"180",7076
"181",7627
"182",7562
"183",6878
"184",7685
"185",7954
"186",7673
"187",7001
"188",6682
"189",6914
"190",7777
"191",7099
"192",7363
"193",7745
"194",7053
"195",7782
"196",6659
"197",7390
"198",7749
"199",6437
"200",6063
"201",6845
"202",7127
"203",7672
"204",7408
"205",7951
"206",8056
"207",7808
"208",7660
"209",7937
"210",7875
"211",7315
"212",7723
"213",7367
"214",3955
"215",7136
"216",6674
"217",7829
"218",7833
"219",7793
"220",7208
"221",7340
"222",7057
"223",7368
"224",7536
"225",7446
"226",7693
"227",5185
"228",7415
"229",6872
"230",7455
"231",7519
"232",6853
"233",8145
"234",7933
"235",7607
"236",6485
"237",6898
"238",7558
"239",7749
"240",7626
"241",7529
"242",7534
"243",6929
"244",7430
"245",5926
"246",7571
"247",8096
"248",7982
"249",7806
"250",7327
"251",7558
"252",6698
"253",5659
"254",7229
"255",7388
"256",7351
"257",7305
"258",6438
"259",6942
"260",6804
"261",6979
"262",7811
"263",7460
"264",6700
"265",6387
"266",7120
"267",7326
"268",7375
"269",7401
"270",6381
"271",6237
"272",6285
"273",5462
"274",7044
"275",7500
"276",7366
"277",6772
"278",7393
"279",7276
"280",7203
"281",6776
"282",6823
"283",7002
"284",6662
"285",6987
"286",6535
"287",7288
"288",7282
"289",7430
"290",7421
"291",6683
"292",7871
"293",7457
"294",6715
"295",7090
"296",6712
"297",7301
"298",7420
"299",6379
"300",7142
"301",7006
"302",6843
"303",7751
"304",7375
"305",7182
"306",7246
"307",7178
"308",6949
"309",7113
"310",8232
"311",7219
"312",7376
"313",6793
"314",7312
"315",6941
"316",7050
"317",7210
"318",6888
"319",7093
"320",7080
"321",5836
"322",7344
"323",6762
"324",6133
"325",6497
"326",6841
"327",7537
"328",6722
"329",7519
"330",7377
"331",6467
"332",7589
"333",7469
"334",6666
"335",6007
"336",7147
"337",7140
"338",6833
"339",7426
"340",6880
"341",7736
"342",7858
"343",7014
"344",7307
"345",7666
"346",7324
"347",6828
"348",6888
"349",7168
"350",6773
"351",8004
"352",7184
"353",7030
"354",7286
"355",7585
"356",7736
"357",8004
"358",7565
"359",6562
"360",7662
"361",7391
"362",6545
"363",7287
"364",7528
"365",8080
"366",7640
"367",6872
"368",7101
"369",7509
"370",7962
"371",7932
"372",7732
"373",7174
"374",7371
"375",7079
"376",6834
"377",7570
"378",7078
"379",4879
"380",7278
"381",6871
"382",7356
"383",8008
"384",7070
"385",8316
"386",7334
"387",6854
"388",6871
"389",7821
"390",7656
"391",7161
"392",7436
"393",6974
"394",8054
"395",7832
"396",6825
"397",7445
"398",6795
"399",6754
"400",7086
"401",6972
"402",7083
"403",7434
"404",7151
"405",7330
"406",7084
"407",7621
"408",7683
"409",7778
"410",7871
"411",6566
"412",6860
"413",7266
"414",7467
"415",7221
"416",7692
"417",6763
"418",7519
"419",7519
"420",6631
"421",4066
"422",7656
"423",8347
"424",6772
"425",6964
"426",7468
"427",7232
"428",7688
"429",7704
"430",7503
"431",6768
"432",8288
"433",7623
"434",7246
"435",7068
"436",6452
"437",7494
"438",7661
"439",7444
"440",5837
"441",7151
"442",6492
"443",7660
"444",7423
"445",7587
"446",8086
"447",7216
"448",7057
"449",7434
"450",6471
"451",7306
"452",7588
"453",7231
"454",6649
"455",7052
"456",8229
"457",8167
"458",7810
"459",6583
"460",6965
"461",7354
"462",6586
"463",7528
"464",7664
"465",7437
"466",7068
"467",6984
"468",6581
"469",6438
"470",7624
"471",7694
"472",7826
"473",7393
"474",7073
"475",7127
"476",7200
"477",7060
"478",7797
"479",7018
"480",6509
"481",8138
"482",7763
"483",8010
"484",7458
"485",6924
"486",7345
"487",7726
"488",8051
"489",8040
"490",7623
"491",8099
"492",7573
"493",7380
"494",8490
"495",7821
"496",7453
"497",7346
"498",6631
"499",7717
"500",7850
"501",6733
"502",8355
"503",7755
"504",7934
"505",7896
"506",7811
"507",7254
"508",6127
"509",7594
"510",7297
"511",7262
"512",7947
"513",7960
"514",6788
"515",7810
"516",7109
"517",7550
"518",7380
"519",7532
"520",7941
"521",7937
"522",7221
"523",7717
"524",6931
"525",7778
"526",7464
"527",8359
"528",8321
"529",7493
"530",7669
"531",5895
"532",7816
"533",6383
"534",8384
"535",7234
"536",7346
"537",7697
"538",7505
"539",7347
"540",7396
"541",8461
"542",6580
"543",7507
"544",6920
"545",8293
"546",7503
"547",7356
"548",6351
"549",7872
"550",8610
"551",8074
"552",7674
"553",7972
"554",7993
"555",8371
"556",8677
"557",8283
"558",8028
"559",7764
"560",7765
"561",7950
"562",7053
"563",6270
"564",8724
"565",7747
"566",7777
"567",7899
"568",7982
"569",7203
"570",8528
"571",8679
"572",8138
"573",7843
"574",7231
"575",7464
"576",7284
"577",8341
"578",8307
"579",8056
"580",7972
"581",6954
"582",6537
"583",6591
"584",7477
"585",8293
"586",8373
"587",8437
"588",8322
"589",8154
"590",8217
"591",7394
"592",7519
"593",7296
"594",6996
"595",8444
"596",8242
"597",8079
"598",8485
"599",8288
"600",7818
"601",8319
"602",8253
"603",7429
"604",8324
"605",8132
"606",8462
"607",8460
"608",8312
"609",7234
"610",7692
"611",8355
"612",8197
"613",8595
"614",8610
"615",8576
"616",8128
"617",7449
"618",6664
"619",8340
"620",8561
"621",8574
"622",8171
"623",7677
"624",7831
"625",8148
"626",8435
"627",8393
"628",8455
"629",8608
"630",7934
"631",8207
"632",7764
"633",8566
"634",8540
"635",8573
"636",7978
"637",7858
"638",7985
"639",7846
"640",7648
"641",7296
"642",8211
"643",8130
"644",8429
"645",7543
"646",7490
"647",7805
"648",7844
"649",8594
"650",8467
"651",7535
"652",7455
"653",8686
"654",7479
"655",7609
"656",8117
"657",8550
"658",8456
"659",8307
"660",7269
"661",7741
"662",7956
"663",8024
"664",8434
"665",8193
"666",8429
"667",8251
"668",7812
"669",8486
"670",7963
"671",7770
"672",8065
"673",8578
"674",8285
"675",7721
"676",7029
"677",7368
"678",8051
"679",7671
"680",8158
"681",7627
"682",8046
"683",8145
"684",8429
"685",8229
"686",7520
"687",7808
"688",8063
"689",7895
"690",8277
"691",7509
"692",6746
"693",8285
"694",8439
"695",7889
"696",8126
"697",7710
"698",7678
"699",7375
"700",7958
"701",7789
"702",7909
"703",7727
"704",8052
"705",8141
"706",7445
"707",7239
"708",7584
"709",7650
"710",7923
"711",6559
"712",7866
"713",7466
"714",7894
"715",7788
"716",7287
"717",8061
"718",7534
"719",7138
"720",8033
"721",7467
"722",7814
"723",7351
"724",8624
"725",6920
"726",7117
"727",7416
"728",6760
"729",7116
"730",7423
"731",8251
"732",7694
"733",6933
"734",7333
"735",8246
"736",5816
"737",7405
"738",6756
"739",5357
"740",7958
"741",7810
"742",8250
"743",8555
"744",6982
"745",7029
"746",7450
"747",8381
"748",7893
"749",7308
"750",7388
"751",7669
"752",8070
"753",8674
"754",7084
"755",7492
"756",8476
"757",8310
"758",8346
"759",7792
"760",7800
"761",7171
"762",6604
"763",6556
"764",7475
"765",8658
"766",8458
"767",8494
"768",8377
"769",7794
"770",7299
"771",8597
"772",8089
"773",8135
"774",7245
"775",7280
"776",6513
"777",8331
"778",8070
"779",8566
"780",8339
"781",7168
"782",8027
"783",8410
"784",7265
"785",8683
"786",8422
"787",8266
"788",8503
"789",7773
"790",7456
"791",7455
"792",8367
"793",7136
"794",7485
"795",7454
"796",8247
"797",8117
"798",8382
"799",8619
"800",8152
"801",7796
"802",7873
"803",8704
"804",8111
"805",8552
"806",8509
"807",7542
"808",7981
"809",8019
"810",7857
"811",6953
"812",7828
"813",8323
"814",8568
"815",8242
"816",8286
"817",8045
"818",8060
"819",8274
"820",8550
"821",6801
"822",7732
"823",8726
"824",8550
"825",8550
"826",8155
"827",8113
"828",8730
"829",7667
"830",8303
"831",7596
"832",8477
"833",7203
"834",7475
"835",8636
"836",8647
"837",8464
"838",8354
"839",8070
"840",7299
"841",6634
"842",8596
"843",8643
"844",8140
"845",7842
"846",7215
"847",6526
"848",7408
"849",6723
"850",8798
"851",8643
"852",8576
