"","EVI2016"
"1",4983
"2",4819
"3",4896
"4",4350
"5",3935
"6",4596
"7",4408
"8",4048
"9",4189
"10",4354
"11",4774
"12",4704
"13",4453
"14",4795
"15",4182
"16",4213
"17",3853
"18",3800
"19",3619
"20",4585
"21",3933
"22",4435
"23",3656
"24",4607
"25",4209
"26",4401
"27",4260
"28",4841
"29",4758
"30",3881
"31",4102
"32",3737
"33",4844
"34",4709
"35",4833
"36",3713
"37",4551
"38",4459
"39",4227
"40",4256
"41",4262
"42",4043
"43",4023
"44",4080
"45",3194
"46",3807
"47",4750
"48",4194
"49",5143
"50",5105
"51",4210
"52",4698
"53",3758
"54",3535
"55",4382
"56",4424
"57",4540
"58",4578
"59",4022
"60",4112
"61",4556
"62",3742
"63",3789
"64",4648
"65",4156
"66",3633
"67",3791
"68",4224
"69",4616
"70",4323
"71",4387
"72",3768
"73",3989
"74",3955
"75",3379
"76",4172
"77",3821
"78",3992
"79",4514
"80",4142
"81",3778
"82",3540
"83",4280
"84",3870
"85",4020
"86",4580
"87",4194
"88",4831
"89",3931
"90",3730
"91",3742
"92",3831
"93",3521
"94",3699
"95",3336
"96",4179
"97",4466
"98",4966
"99",4251
"100",3862
"101",4654
"102",4277
"103",3270
"104",4013
"105",3443
"106",4773
"107",4682
"108",3454
"109",4702
"110",4688
"111",4874
"112",4606
"113",4613
"114",4164
"115",4282
"116",3281
"117",3370
"118",3610
"119",4257
"120",4868
"121",4456
"122",4874
"123",4651
"124",3971
"125",4417
"126",4882
"127",3997
"128",4227
"129",4065
"130",4516
"131",4216
"132",3907
"133",4572
"134",4231
"135",4104
"136",3693
"137",4161
"138",3385
"139",4099
"140",3848
"141",4092
"142",3749
"143",4561
"144",3774
"145",4025
"146",3986
"147",4324
"148",4462
"149",4456
"150",3523
"151",3682
"152",3744
"153",4344
"154",4376
"155",3634
"156",4896
"157",4330
"158",4508
"159",3856
"160",4416
"161",4164
"162",4297
"163",4415
"164",3247
"165",3113
"166",2951
"167",2773
"168",5440
"169",4913
"170",4401
"171",4405
"172",3664
"173",4025
"174",4307
"175",3649
"176",4523
"177",4423
"178",4729
"179",4549
"180",3947
"181",4460
"182",4325
"183",3462
"184",3799
"185",4474
"186",4211
"187",4616
"188",5140
"189",4526
"190",5296
"191",3723
"192",3921
"193",4352
"194",4272
"195",4031
"196",4031
"197",4503
"198",4327
"199",3724
"200",3773
"201",4005
"202",4754
"203",4045
"204",4546
"205",4737
"206",4200
"207",4580
"208",4469
"209",4206
"210",3720
"211",4119
"212",3230
"213",4221
"214",3080
"215",4025
"216",4353
"217",4805
"218",4430
"219",4563
"220",4584
"221",4570
"222",3106
"223",3875
"224",4330
"225",4226
"226",4513
"227",3451
"228",3950
"229",3759
"230",3944
"231",4881
"232",4912
"233",4716
"234",4483
"235",3406
"236",3375
"237",3095
"238",4895
"239",4223
"240",4059
"241",3405
"242",4392
"243",4608
"244",4413
"245",3674
"246",3130
"247",3623
"248",4116
"249",4838
"250",4522
"251",3487
"252",4544
"253",3304
"254",4056
"255",4362
"256",4759
"257",3666
"258",4085
"259",4396
"260",3675
"261",3769
"262",3829
"263",3774
"264",4881
"265",3390
"266",4172
"267",4715
"268",4293
"269",4366
"270",3436
"271",3777
"272",4276
"273",3646
"274",3556
"275",4498
"276",3514
"277",4567
"278",4611
"279",4482
"280",4300
"281",4149
"282",4703
"283",4201
"284",3122
"285",3540
"286",3740
"287",3547
"288",3602
"289",3222
"290",4285
"291",4144
"292",4019
"293",4819
"294",4227
"295",4476
"296",4521
"297",4056
"298",4480
"299",3243
"300",3017
"301",3116
"302",2883
"303",3814
"304",3856
"305",3626
"306",5044
"307",5179
"308",4069
"309",4596
"310",4548
"311",3662
"312",3868
"313",2915
"314",4230
"315",3429
"316",3400
"317",3460
"318",3200
"319",3554
"320",3188
"321",4692
"322",4765
"323",4622
"324",4404
"325",4120
"326",4259
"327",4377
"328",4277
"329",3327
"330",3268
"331",3705
"332",4124
"333",2994
"334",3104
"335",3230
"336",4721
"337",4193
"338",4156
"339",4516
"340",4958
"341",3183
"342",3083
"343",3600
"344",3830
"345",4054
"346",3428
"347",3525
"348",5391
"349",4184
"350",4684
"351",4509
"352",3471
"353",3413
"354",2503
"355",3063
"356",2740
"357",4509
"358",4050
"359",3252
"360",4845
"361",4814
"362",5022
"363",4420
"364",4422
"365",4383
"366",4111
"367",3421
"368",3660
"369",3391
"370",3837
"371",4432
"372",4540
"373",4580
"374",4992
"375",4751
"376",4793
"377",3327
"378",3447
"379",3418
"380",4478
"381",4963
"382",4898
"383",3186
"384",3040
"385",3203
"386",3210
"387",3238
"388",4963
"389",3542
"390",4628
"391",3362
"392",2564
"393",3732
"394",3199
"395",3156
"396",4833
"397",4599
"398",4491
