"","NDVI2017"
"1",8244
"2",6440
"3",8032
"4",8080
"5",7636
"6",6839
"7",8197
"8",8035
"9",8233
"10",6579
"11",7247
"12",4719
"13",7065
"14",8346
"15",8487
"16",8511
"17",8497
"18",8222
"19",8203
"20",8582
"21",7240
"22",7331
"23",6768
"24",6069
"25",5163
"26",4631
"27",5919
"28",8215
"29",8201
"30",8333
"31",8465
"32",8504
"33",8211
"34",8298
"35",5804
"36",6302
"37",7041
"38",8084
"39",7483
"40",7955
"41",4768
"42",7667
"43",7547
"44",4788
"45",6440
"46",7618
"47",6875
"48",7620
"49",8401
"50",8209
"51",4947
"52",7937
"53",8209
"54",7835
"55",6742
"56",6450
"57",7960
"58",5295
"59",6873
"60",8537
"61",8177
"62",8173
"63",7920
"64",7267
"65",5946
"66",6512
"67",8279
"68",8172
"69",8048
"70",7992
"71",8112
"72",7242
"73",4064
"74",6705
"75",8274
"76",8185
"77",7890
"78",7728
"79",7026
"80",3922
"81",7012
"82",7955
"83",8027
"84",8056
"85",8072
"86",8256
"87",7815
"88",6427
"89",7454
"90",7210
"91",6758
"92",7961
"93",8197
"94",8080
"95",8073
"96",7793
"97",8114
"98",8288
"99",7174
"100",7501
"101",7341
"102",8179
"103",8188
"104",7529
"105",8031
"106",8259
"107",8217
"108",7915
"109",8647
"110",8250
"111",7939
"112",7545
"113",8010
"114",8412
"115",8371
"116",7924
"117",7926
"118",7503
"119",7810
"120",8346
"121",8490
"122",8342
"123",8092
"124",8145
"125",8148
"126",7950
"127",8337
"128",8147
"129",8248
"130",7564
"131",7401
"132",7833
"133",8518
"134",8373
"135",8278
"136",8216
"137",8367
"138",8158
"139",8030
"140",8435
"141",8047
"142",8112
"143",8391
"144",8309
"145",8203
"146",8261
"147",8289
"148",8103
"149",8254
"150",8272
"151",8202
"152",8054
"153",8440
"154",8227
"155",8340
"156",7875
"157",8100
"158",8041
"159",7946
"160",8161
"161",8239
"162",8147
"163",8220
"164",8435
"165",8371
"166",8033
"167",8281
"168",8102
"169",8233
"170",8035
"171",8294
"172",8489
"173",8470
"174",8434
"175",8211
"176",8303
"177",4595
"178",8155
"179",7943
"180",8118
"181",8222
"182",8222
"183",8183
"184",8471
"185",8215
"186",8436
"187",5207
"188",3944
"189",4478
"190",7704
"191",7961
"192",7982
"193",8172
"194",8126
"195",8112
"196",8189
"197",8348
"198",8227
"199",5996
"200",3409
"201",3445.5
"202",3382
"203",4532
"204",6501
"205",8177
"206",7905
"207",7702
"208",8340
"209",8156
"210",8243
"211",7909
"212",8250
"213",8240
"214",5663
"215",3080
"216",3152
"217",7498
"218",7771
"219",7544
"220",7942
"221",8135
"222",7925
"223",8545
"224",8238
"225",8016
"226",8195
"227",3235
"228",3530
"229",3129
"230",3228
"231",4444
"232",3469
"233",7508
"234",7752
"235",7627
"236",7873
"237",7721
"238",8171
"239",7576
"240",7955
"241",8281
"242",7739
"243",3800
"244",5537
"245",8158
"246",8270
"247",8354
"248",8378
"249",8227
"250",8091
"251",7823
"252",8025
"253",6812
"254",3305
"255",4151
"256",4649
"257",7914
"258",8377
"259",8341
"260",8416
"261",7819
"262",8259
"263",8174
"264",8086
"265",5357
"266",4890
"267",5527
"268",6726
"269",5208
"270",8164
"271",8387
"272",8444
"273",8624
"274",8231
"275",8326
"276",8345
"277",8234
"278",8211
"279",4986
"280",6956
"281",6075
"282",7218
"283",8259
"284",8535
"285",8176
"286",8492
"287",8311
"288",8501
"289",8333
"290",8231
"291",8329
"292",5323
"293",6440
"294",6551
"295",6915
"296",6953
"297",8252
"298",8382
"299",8332
"300",7977
"301",8052
"302",8076
"303",8314
"304",8246
"305",8274
"306",4913
"307",5141
"308",5674
"309",6235
"310",7913
"311",8323
"312",8197
"313",8363
"314",7882
"315",8222
"316",8081
"317",8464
"318",8246
"319",8382
"320",8502
"321",4169
"322",5559
"323",5669
"324",5401
"325",5745
"326",5586
"327",8009
"328",8317
"329",8199
"330",7909
"331",8051
"332",8252
"333",8161
"334",8040
"335",8252
"336",8356
"337",4939
"338",5203
"339",6739
"340",6004
"341",8232
"342",8040
"343",8114
"344",8181
"345",7684
"346",8265
"347",7799
"348",5788
"349",6519
"350",6730
"351",8282
"352",8327
"353",8269
"354",7955
"355",7511
"356",8157
"357",8282
"358",3588
"359",8157
"360",6952
"361",5595
"362",5031
"363",6172
"364",7127
"365",7519
"366",7342
"367",7428
"368",6877
"369",7565
"370",7503
"371",7511
"372",6884
"373",6054
"374",5745
"375",6211
"376",5899
"377",8197
"378",8162
"379",7656
"380",6626
"381",7026
"382",7064
"383",8248
"384",8006
"385",8320
"386",7832
"387",7872
"388",7026
"389",5683
"390",7254
"391",7518
"392",7985
"393",7646
"394",7357
"395",7050
"396",6388
"397",7076
"398",6316
"399",6689
"400",7980
"401",8069
"402",7466
"403",7763
"404",7422
"405",8181
"406",5725
"407",6123
"408",6341
"409",7855
"410",8005
"411",7816
"412",8190
"413",7883
"414",7927
"415",7907
"416",7969
"417",6545
"418",5891
"419",5891
"420",6003
"421",4574
"422",7467
"423",7310
"424",8182
"425",7941
"426",7303
"427",7520
"428",8048
"429",7877
"430",6830
"431",5900
"432",7545
"433",7886
"434",7682
"435",8181
"436",7691
"437",8317
"438",7933
"439",7344
"440",4538
"441",6321
"442",6449
"443",7011
"444",5531
"445",7304
"446",7540
"447",7717
"448",7696
"449",7909
"450",7964
"451",8018
"452",7640
"453",7610
"454",6673
"455",6057
"456",7178
"457",7243
"458",7944
"459",7677
"460",7722
"461",7949
"462",7952
"463",8219
"464",7687
"465",7340
"466",7467
"467",4991
"468",6145
"469",6429
"470",7488
"471",7775
"472",7849
"473",8019
"474",7812
"475",8184
"476",7475
"477",7665
"478",7543
"479",5001
"480",6436
"481",6782
"482",7106
"483",7265
"484",7439
"485",7613
"486",7189
"487",8049
"488",8158
"489",7786
"490",6271
"491",7465
"492",6941
"493",7994
"494",7448
"495",7307
"496",7238
"497",7119
"498",7557
"499",6735
"500",6840
"501",6702
"502",7422
"503",7280
"504",7165
"505",7111
"506",7945
"507",7561
"508",6233
"509",7079
"510",7398
"511",7382
"512",7140
"513",7371
"514",7864
"515",7345
"516",6055
"517",6017
"518",7104
"519",7375
"520",7320
"521",7072
"522",8021
"523",6154
"524",7182
"525",6375
"526",7352
"527",7551
"528",5947
"529",5887
"530",5810
"531",5600
"532",7232
"533",6916
"534",6707
"535",6212
"536",5525
"537",5479
"538",4574
"539",5051
"540",6583
"541",6564
"542",6275
"543",6305
"544",6216
"545",7187
"546",7005
"547",7521
"548",5189
"549",5152
"550",6765
"551",6531
"552",6210
"553",7150
"554",5746
"555",7141
"556",6368
"557",6100
"558",7745
"559",7179
"560",5946
"561",6023
"562",4823
"563",5099
"564",6177
"565",7380
"566",7364
"567",7384
"568",6749
"569",5251
"570",4204
"571",6772
"572",6183
"573",6874
"574",4885
"575",5269
"576",5320
"577",7581
"578",6155
"579",5648
"580",6127
"581",5858
"582",4675
"583",4852
"584",4902
"585",1668
"586",7600
"587",7256
"588",7249
"589",5403
"590",7873
"591",6448
"592",6241
"593",5483
"594",6047
"595",7839
"596",8123
"597",7605
"598",6667
"599",7070
"600",7044
"601",6305
"602",935
"603",4468
"604",7302
"605",7383
"606",6717
"607",7505
"608",7013
"609",7247
"610",5894
"611",7197
"612",3143
"613",975
"614",4936
"615",7562
"616",6504
"617",7462
"618",6476
"619",7362
"620",5453
"621",3907
"622",5580
"623",7669
"624",6401
"625",7083
"626",6036
"627",6011
"628",6993
"629",4407
"630",2284.5
"631",5911
"632",2034
"633",7402
"634",5382
"635",4896
"636",4961
"637",1993
"638",5361
"639",6955
"640",3422
"641",5617
"642",7298
"643",8002
"644",6050
"645",4053
"646",5525
"647",4677
"648",5710
"649",7358
"650",6960
"651",7675
"652",4688
"653",4786
"654",5777
"655",7298
"656",6044
"657",3896
"658",7229
"659",8058
"660",6966
"661",7684
"662",7862
"663",5614
"664",7366
"665",6518
"666",4726
"667",8325
"668",6620
"669",7580
"670",7182
"671",8343
"672",7983
"673",6146
"674",7506
"675",7312
"676",7072
"677",3960
"678",8226
"679",5595
"680",7326
"681",7525
"682",7708
"683",7935
"684",6678
"685",7107
"686",7850
"687",7323
"688",6884
"689",8105
"690",8325
"691",6032
"692",7822
"693",6632
"694",7537
"695",6673
"696",8402
"697",6739
"698",6068
"699",7129
"700",7766
"701",6415
"702",6096
"703",8008
"704",7436
"705",6193
"706",8365
"707",7206
"708",6254
"709",7735
"710",6626
"711",7145
"712",6239
"713",6906
"714",6417
"715",7524
"716",4307
"717",5940
"718",7697
"719",7688
"720",5444
"721",7958
"722",6621
"723",7502
"724",7336
"725",6814
"726",6991
"727",7414
"728",7218
"729",3841
"730",3968
"731",6623
"732",6585
"733",7436
"734",6877
"735",6846
"736",7207
"737",7099
"738",6824
"739",6631
"740",6306
"741",8019
"742",6799
"743",8269
"744",3761
"745",3910
"746",8271
"747",7005
"748",6338
"749",6869
"750",7156
"751",6445
"752",6722
"753",8084
"754",6813
"755",8277
"756",7944
"757",7312
"758",7474
"759",7409
"760",6150
"761",6812
"762",3813
"763",6591
"764",7639
"765",7057
"766",7351
"767",7971
"768",7330
"769",6312
"770",7050
"771",7171
"772",6376
"773",6914
"774",7099
"775",3654
"776",6465
"777",8078
"778",7207
"779",8246
"780",7303
"781",7874
"782",7062
"783",6493
"784",6829
"785",7210
"786",6496
"787",6983
"788",7154
"789",8331
"790",8151
"791",7000
"792",8002
"793",7923
"794",8150
"795",6789
"796",7270
"797",8328
"798",6588
"799",7840
"800",7843
"801",8593
"802",8056
"803",7816
"804",7627
"805",8259
"806",6997
"807",7898
"808",8078
"809",8148
"810",8278
"811",8073
"812",8167
"813",7408
"814",7217
"815",7871
"816",8198
"817",8435
"818",7326
"819",7985
"820",8221
"821",7125
"822",7669
"823",7433
"824",7566
"825",7566
"826",7781
"827",8113
"828",7904
"829",8269
"830",8336
"831",7689
"832",8207
"833",8061
"834",8484
"835",7978
"836",8006
"837",8179
"838",8386
"839",8489
"840",8089
"841",8094
"842",7848
"843",7682
"844",8003
"845",7893
"846",8148
"847",7760
"848",7813
"849",7706
"850",8279
"851",7853
"852",7712
"853",8243
"854",8081
"855",8210
"856",8301
"857",7862
"858",8236
"859",7904
"860",8227
"861",8317
"862",7554
"863",7849
"864",8125
"865",7998
"866",7004
"867",8016
"868",6573
"869",8309
"870",8372
"871",8165
"872",7209
"873",7795
"874",8066
"875",7941
"876",7629
"877",8165
"878",8047
"879",7735
"880",8321
"881",8022
"882",8081
"883",7264
"884",5722
"885",7353
"886",7864
"887",8140
"888",7932
"889",7928
"890",7618
"891",7876
"892",7600
"893",8188
"894",7857
"895",7265
"896",7742
"897",7326
"898",5622
"899",7228
"900",7862
"901",7504
"902",7253
"903",7609
"904",7525
"905",7495
"906",8146
"907",6966
"908",7826
"909",7869
"910",8085
"911",7839
"912",7765
"913",7909
"914",5176
"915",6515
"916",7663
"917",6814
"918",7054
"919",7658
"920",8250
"921",8015
"922",8030
"923",5072
"924",7864
"925",7221
"926",4942
"927",5163
"928",7126
"929",8274
"930",8114
"931",6462
"932",7658
"933",7964
"934",8366
"935",7114
"936",7890
"937",7148
"938",7809
"939",7480
"940",7670
"941",7785
"942",7090
"943",7659
"944",7758
"945",6455
"946",7061
"947",7093
"948",7581
"949",6958
"950",7436
"951",7689
"952",8017
"953",8024
"954",8144
"955",7516
"956",7086
"957",8124
"958",7455
"959",7968
"960",6504
"961",7728
"962",7363
"963",7353
"964",6366
"965",8075
"966",7881
"967",6457
"968",6027
"969",7910
"970",6415
"971",7601
"972",6414
"973",3886
"974",6151
"975",7947
"976",7742
"977",7779
"978",1052
"979",4789
"980",6323
"981",5988
"982",7104
"983",8050
"984",7334
"985",8053
"986",7605
"987",7739
"988",1123.5
"989",4054
"990",6966
"991",6602
"992",6764
"993",7214
"994",7635
"995",7670
"996",7913
"997",7124
"998",7800
"999",7555
"1000",6459
"1001",3807
"1002",5930
"1003",7480
"1004",6535
"1005",NA
"1006",7613
"1007",7834
"1008",7774
"1009",7605
"1010",7302
"1011",7620
"1012",6674
"1013",7174
"1014",4126
"1015",6557
"1016",5105
"1017",7194
"1018",5804
"1019",7200
"1020",NA
"1021",7794
"1022",8026
"1023",6959
"1024",8016
"1025",6392
"1026",7534
"1027",7642
"1028",5819
"1029",7062
"1030",7000
"1031",7232
"1032",7108
"1033",7502
"1034",7303
"1035",7763
"1036",7069
"1037",7849
"1038",7263
"1039",7757
"1040",7803
"1041",8038
"1042",5906
"1043",7080
"1044",6701
"1045",6685
"1046",NA
"1047",7256
"1048",7681
"1049",7107
"1050",8058
"1051",7842
"1052",7903
"1053",6398
"1054",7124
"1055",7757
"1056",7779
"1057",7975
"1058",7669
"1059",6690
"1060",7405
"1061",7869
"1062",7920
"1063",7583
"1064",6398
"1065",7158
"1066",7275
"1067",7372
"1068",7945
"1069",8044
"1070",7815
"1071",6078
"1072",6016
"1073",5581
"1074",6618
"1075",7897
"1076",7420
"1077",7426
"1078",7634
"1079",7602
"1080",6555
"1081",6150
"1082",6988
"1083",7517
"1084",7529
"1085",7605
"1086",6812
"1087",8110
"1088",7542
"1089",7437
"1090",5250
"1091",7555
"1092",7801
"1093",7535
"1094",6429
"1095",5721
"1096",7781
"1097",7229
"1098",7832
"1099",6684
"1100",8120
"1101",7603
"1102",6127
"1103",7661
"1104",7694
"1105",7553
"1106",6469
"1107",8043
"1108",6978
"1109",6932
"1110",7629
"1111",7305
"1112",7447
"1113",7722
"1114",7770
"1115",7439
"1116",7882
"1117",6021
"1118",6733
"1119",7678
"1120",6708
"1121",7144
"1122",7087
"1123",7614
"1124",6905
"1125",7643
"1126",6168
"1127",7845
"1128",7071
"1129",7019
"1130",7405
"1131",7421
"1132",6822
"1133",7445
"1134",6236
"1135",6413
"1136",7463
"1137",7295
"1138",6925
"1139",5469
"1140",7861
"1141",8106
"1142",6940
"1143",7022
"1144",6151
"1145",7171
"1146",6167
"1147",7926
"1148",7137
"1149",7193
"1150",6921
"1151",5294
"1152",7472
"1153",6039
"1154",6809
"1155",7074
"1156",7798
"1157",7876
"1158",7856
"1159",6888
"1160",5438
"1161",6825
"1162",6526
"1163",8103
"1164",5493
"1165",6676
"1166",7481
"1167",8087
"1168",6515
"1169",6546
"1170",7488
"1171",7041
"1172",7592
"1173",7574
"1174",7119
"1175",7470
"1176",8389
"1177",7928
"1178",7286
"1179",6150
"1180",7668
"1181",5046
"1182",7857
"1183",8050
"1184",7579
"1185",7967
"1186",7726
"1187",6263
"1188",5852
"1189",7172
"1190",8039
"1191",7877
"1192",7820
"1193",7897
"1194",8292
"1195",6488
"1196",7482
"1197",7779
"1198",5787
"1199",8480
"1200",5647
"1201",8162
"1202",7983
"1203",8484
"1204",7724
"1205",7108
"1206",7724
"1207",7925
"1208",7496
"1209",7790
"1210",7560
"1211",7764
"1212",6783
"1213",7661
"1214",7992
"1215",7337
"1216",8123
"1217",8049
"1218",7923
"1219",7719
"1220",7835
"1221",8170
"1222",8090
"1223",8046
"1224",7970
"1225",7503
"1226",7783
"1227",7895
"1228",7693
"1229",8118
"1230",8158
"1231",7980
"1232",8185
"1233",7813
"1234",7559
"1235",7907
"1236",7878
"1237",7739
"1238",7586
"1239",7788
"1240",8107
"1241",7804
"1242",8034
"1243",8206
"1244",8059
"1245",7573
"1246",7268
"1247",7811
"1248",8098
"1249",7964
"1250",7224
"1251",6161
"1252",7093
"1253",8425
"1254",8187
"1255",7947
"1256",7603
"1257",8039
"1258",8418
"1259",8161
"1260",7257
"1261",7930
"1262",8021
"1263",7495
"1264",8096
"1265",7401
"1266",8342
"1267",6759
"1268",7345
"1269",7465
"1270",8054
"1271",6248
"1272",5133
"1273",7983
"1274",7627
"1275",8049
"1276",7081
"1277",7397
"1278",7343
"1279",7288
"1280",6806
"1281",4595
"1282",7899
"1283",7150
"1284",8360
"1285",8000
"1286",7059
"1287",7243
"1288",6758
"1289",5477
"1290",6002
"1291",7571
"1292",7778
"1293",7327
"1294",6346
"1295",7905
"1296",7673
"1297",7269
"1298",7833
"1299",6608
"1300",6074
"1301",7933
"1302",7512
"1303",6135
"1304",6445
"1305",8022
"1306",7498
"1307",7827
"1308",6398
"1309",7689
"1310",7372
"1311",7825
"1312",6152
"1313",7016
"1314",3246.5
"1315",7573
"1316",7933
"1317",6283
"1318",6518
"1319",1302
"1320",7696
"1321",7561
"1322",8120
"1323",6732
"1324",6534
"1325",5959
"1326",5174
"1327",1993.5
"1328",7255
"1329",8217
"1330",7535
"1331",8078
"1332",7099
"1333",6675
"1334",4466
"1335",7619
"1336",7879
"1337",7843
"1338",7132
"1339",7224
"1340",5328
"1341",7618
"1342",7671
"1343",5714
"1344",4875
"1345",6976
"1346",5301
"1347",7912
"1348",7832
"1349",7890
"1350",7244
"1351",7206
"1352",5759
"1353",6970
"1354",7364
"1355",5697
"1356",5114
"1357",7537
"1358",7931
"1359",6141
"1360",3797
"1361",6970
"1362",8629
"1363",7921
"1364",8034
"1365",6674
"1366",6945
"1367",6962
"1368",7054
"1369",8214
"1370",8030
"1371",6709
"1372",7111
"1373",6942
"1374",2824
"1375",7332
"1376",8266
"1377",7765
"1378",6637
"1379",7649
"1380",8037
"1381",7595
"1382",6721
"1383",7680
"1384",8531
"1385",8345
"1386",8181
"1387",7813
"1388",7288
"1389",7114
"1390",8380
"1391",7842
"1392",8103
"1393",8192
"1394",7623
"1395",6783
"1396",7319
"1397",8177
"1398",7825
"1399",7940
"1400",8354
"1401",7268
"1402",6769
"1403",5972
"1404",7029
"1405",8667
"1406",8552
"1407",8366
"1408",7309
"1409",6516
"1410",7277
"1411",6608
"1412",6084
"1413",8757
"1414",8591
"1415",8764
"1416",8108
"1417",6978
"1418",7588
"1419",6349
"1420",5890
"1421",5055
"1422",6581
"1423",7202
"1424",9005
"1425",8858
"1426",8306
"1427",7872
"1428",7062
"1429",7912
"1430",7468
"1431",6966
"1432",6738
"1433",7126
"1434",7816
"1435",5878
"1436",7087
"1437",5802
"1438",8202
"1439",8326
"1440",7348
"1441",8022
"1442",8675
"1443",8423
"1444",8011
"1445",7280
"1446",7716
"1447",7843
"1448",7633
"1449",7794
"1450",5528
"1451",8265
"1452",7032
"1453",5816
"1454",6242
"1455",7772
"1456",6661
"1457",8904
"1458",8560
"1459",8494
"1460",8195
"1461",8415
"1462",7364
"1463",7459
"1464",7934
"1465",6508
"1466",8024
"1467",7551
"1468",7649
"1469",8024
"1470",5946
"1471",7649
"1472",5660
"1473",6824
"1474",8098
"1475",8130
"1476",6237
"1477",8178
"1478",8130
"1479",5973
"1480",7287
"1481",8738
"1482",8497
"1483",8562
"1484",5760
"1485",7170
"1486",5551
"1487",8289
"1488",7355
"1489",7160
"1490",7248
"1491",8178
"1492",7825
"1493",8096
"1494",7991
"1495",5934
"1496",6524
"1497",8096
"1498",8823
"1499",8833
"1500",8568
"1501",8237
"1502",8128
"1503",7467
"1504",8485
"1505",7513
"1506",6220
"1507",7732
"1508",7796
