"","NDVI2013"
"1",7313
"2",7775
"3",6913
"4",6637
"5",6504
"6",7394
"7",6280
"8",6382
"9",7187
"10",6284
"11",6357
"12",6851
"13",6153
"14",7708
"15",5868
"16",6589
"17",5695
"18",5169
"19",4875
"20",5084
"21",6504
"22",6473
"23",7167
"24",7825
"25",7090
"26",6895
"27",6291
"28",5889
"29",5314
"30",4827
"31",5193
"32",4551
"33",4847
"34",4200
"35",6330
"36",7733
"37",6930
"38",6581
"39",7740
"40",6916
"41",7684
"42",7083
"43",6765
"44",5442
"45",5187
"46",5580
"47",6816
"48",7745
"49",8153
"50",7074
"51",7190
"52",6156
"53",6241
"54",5481
"55",5081
"56",4078
"57",7787
"58",7018
"59",6098
"60",6538
"61",6016
"62",5497
"63",6739
"64",6371
"65",6357
"66",5300
"67",5052
"68",4903
"69",4927
"70",5816
"71",7143
"72",6422
"73",6198
"74",5826
"75",5345
"76",6231
"77",6128
"78",5735
"79",7436
"80",6853
"81",5335
"82",5809
"83",7907
"84",6803
"85",7234
"86",7390
"87",7243
"88",7431
"89",6068
"90",4704
"91",5912
"92",6709
"93",6949
"94",7166
"95",6328
"96",4629
"97",4674
"98",7629
"99",6535
"100",6698
"101",6704
"102",6075
"103",4174
"104",4089
"105",4187
"106",5397
"107",6110
"108",4663
"109",7730
"110",7168
"111",6642
"112",7016
"113",7074
"114",6737
"115",5759
"116",5825
"117",5832
"118",5623
"119",6033
"120",7683
"121",7736
"122",7079
"123",6733
"124",6115
"125",6431
"126",5047
"127",6282
"128",5596
"129",5663
"130",7406
"131",6594
"132",6702
"133",7553
"134",7019
"135",6617
"136",6139
"137",5776
"138",4945
"139",4775
"140",5080
"141",6189
"142",5917
"143",6105
"144",4852
"145",6587
"146",6239
"147",6064
"148",7345
"149",5281
"150",5160
"151",4718
"152",5589
"153",5457
"154",5846
"155",5309
"156",7559
"157",6861
"158",5669
"159",5298
"160",4917
"161",5367
"162",4905
"163",4413
"164",5178
"165",5424
"166",4391
"167",4012
"168",7366
"169",7355
"170",6132
"171",4722
"172",4432
"173",4750
"174",4260
"175",5291
"176",5567
"177",4882
"178",7203
"179",7072
"180",5881
"181",5909
"182",5266
"183",4289
"184",5731
"185",6460
"186",6258
"187",6799
"188",5647
"189",6863
"190",7469
"191",5306
"192",5890
"193",6899
"194",6598
"195",5569
"196",5735
"197",4183
"198",6800
"199",5797
"200",3767
"201",5227
"202",6403
"203",4612
"204",6187
"205",7500
"206",6937
"207",6859
"208",6415
"209",6269
"210",4199
"211",4173
"212",5248
"213",4680
"214",4244
"215",6631
"216",5375
"217",7271
"218",6022
"219",5630
"220",6900
"221",5498
"222",4739
"223",4743
"224",7564
"225",5458
"226",6795
"227",5208
"228",6800
"229",7296
"230",7204
