"","NDVI2016"
"1",8133
"2",7930
"3",7665
"4",7994
"5",6921
"6",8070
"7",7695
"8",7942
"9",7451
"10",6699
"11",7520
"12",7119
"13",6281
"14",7959
"15",6649
"16",7282
"17",6549
"18",7092
"19",5201
"20",6036
"21",6291
"22",6627
"23",6617
"24",7433
"25",7194
"26",6833
"27",6524
"28",7173
"29",7261
"30",5503
"31",6390
"32",4982
"33",6030
"34",7832
"35",7487
"36",6032
"37",7300
"38",8111
"39",7003
"40",7323
"41",6794
"42",6791
"43",6625
"44",5157
"45",7208
"46",6293
"47",7136
"48",7617
"49",7782
"50",7828
"51",7285
"52",7740
"53",6783
"54",6214
"55",7711
"56",7490
"57",7793
"58",8029
"59",6902
"60",7495
"61",7556
"62",7219
"63",7415
"64",7219
"65",6585
"66",5973
"67",5972
"68",7406
"69",7974
"70",7116
"71",7322
"72",6210
"73",7329
"74",7314
"75",6050
"76",7233
"77",7132
"78",7533
"79",7562
"80",7012
"81",7392
"82",6779
"83",6923
"84",6409
"85",7165
"86",8111
"87",7735
"88",7842
"89",6799
"90",5536
"91",6501
"92",6250
"93",5776
"94",6289
"95",6236
"96",6249
"97",7408
"98",8312
"99",7770
"100",7288
"101",8114
"102",7419
"103",6972
"104",7400
"105",5967
"106",7340
"107",7993
"108",6036
"109",7817
"110",7615
"111",7686
"112",7479
"113",7126
"114",5830
"115",6838
"116",6797
"117",5739
"118",5416
"119",6252
"120",7584
"121",7206
"122",7006
"123",7514
"124",6787
"125",6838
"126",6738
"127",6439
"128",5813
"129",6095
"130",6927
"131",7142
"132",6813
"133",7604
"134",7316
"135",6868
"136",6183
"137",6214
"138",5583
"139",4929
"140",6340
"141",7282
"142",6495
"143",7562
"144",6054
"145",5857
"146",7307
"147",6992
"148",7641
"149",7676
"150",7250
"151",5712
"152",6533
"153",5959
"154",7021
"155",6591
"156",7814
"157",6242
"158",7384
"159",7189
"160",7375
"161",7535
"162",7427
"163",7329
"164",5831
"165",4665
"166",4785
"167",4342
"168",8295
"169",7616
"170",6599
"171",5871
"172",4983
"173",6582
"174",6117
"175",6336
"176",7090
"177",5192
"178",7420
"179",7514
"180",6601
"181",7120
"182",7520
"183",5774
"184",6693
"185",6824
"186",6501
"187",7393
"188",6735
"189",6593
"190",7598
"191",5886
"192",6038
"193",6246
"194",7219
"195",7502
"196",6862
"197",6942
"198",7637
"199",5419
"200",4886
"201",5907
"202",7113
"203",5694
"204",6924
"205",7744
"206",7432
"207",6844
"208",7685
"209",6243
"210",6268
"211",6258
"212",6404
"213",6087
"214",4902
"215",6651
"216",7242
"217",7782
"218",6816
"219",6902
"220",7366
"221",7486
"222",4993
"223",5851
"224",6414
"225",6334
"226",7434
"227",4626
"228",6306
"229",5868
"230",6263
"231",7210
"232",6625
"233",7213
"234",6788
"235",6174
"236",5354
"237",4228
"238",6747
"239",6978
"240",6491
"241",5242
"242",6136
"243",7276
"244",6673
"245",5964
"246",4925
"247",5867
"248",5471
"249",6458
"250",5986
"251",5384
"252",6276
"253",4992
"254",5505
"255",5601
"256",6897
"257",5207
"258",5011
"259",6819
"260",6012
"261",4865
"262",6790
"263",6620
"264",8310
"265",5574
"266",5540
"267",7229
"268",7471
"269",7117
"270",4799
"271",5728
"272",6510
"273",5592
"274",5797
"275",6157
"276",6549
"277",7660
"278",7204
"279",7318
"280",6360
"281",6652
"282",6488
"283",6257
"284",4876
"285",5290
"286",6274
"287",5398
"288",4554
"289",5350
"290",6684
"291",6038
"292",6646
"293",6987
"294",7327
"295",7182
"296",7243
"297",6483
"298",7131
"299",5126
"300",4941
"301",5007
"302",4601
"303",6113
"304",6347
"305",6191
"306",7881
"307",7612
"308",6407
"309",6788
"310",7844
"311",6132
"312",6168
"313",5603
"314",5357
"315",5178
"316",4879
"317",5485
"318",5875
"319",5802
"320",6143
"321",5911
"322",6140
"323",6412
"324",7466
"325",6570
"326",7287
"327",7092
"328",6020
"329",5045
"330",5830
"331",5647
"332",5857
"333",5039
"334",5330
"335",5233
"336",7456
"337",4990
"338",5230
"339",6037
"340",7600
"341",6012
"342",4546
"343",5578
"344",5472
"345",6095
"346",4892
"347",4349
"348",8372
"349",7630
"350",8151
"351",7276
"352",6120
"353",5268
"354",5848
"355",4777
"356",4392
"357",7276
"358",5263
"359",4992
"360",7741
"361",7160
"362",7010
"363",7426
"364",7260
"365",7203
"366",6255
"367",6482
"368",5716
"369",5820
"370",6536
"371",6687
"372",7190
"373",6952
"374",7595
"375",7851
"376",7319
"377",4907
"378",5030
"379",5418
"380",6191
"381",7659
"382",7249
"383",5582
"384",4720
"385",4769
"386",4727
