"","mydata"
"533",4727
"534",5165
"535",4628
"536",3814
"537",4396
"538",4199
"539",4373
"540",4406
"541",5486
"542",4143
"543",4620
"544",4670
"545",4711
"546",4343
"547",5470
"548",4767
"549",4643
"550",5154
"551",5079
"552",4770
"553",5072
"554",4752
"555",5225
"556",4911
"557",5042
"558",4764
"559",4908
"560",3710
"561",4542
"562",4351
"563",4748
"564",5548
"565",5119
"566",4537
"567",4854
"568",4174
"569",3551
"570",4976
"571",4876
"572",5654
"573",4752
"574",4535
"575",4592
"576",4520
"577",4769
"578",4797
"579",5476
"580",4877
"581",4035
"582",4305
"583",4370
"584",3859
"585",5835
"586",5113
"587",4791
"588",5111
"589",4763
"590",5286
"591",4093
"592",3635
"593",4186
"594",4480
"595",5231
"596",4875
"597",5505
"598",4875
"599",5258
"600",4205
"601",5373
"602",5684
"603",4297
"604",5312
"605",5738
"606",5097
"607",4981
"608",5755
"609",4664
"610",4433
"611",6036
"612",4207
"613",4870
"614",5412
"615",4655
"616",4659
"617",5105
"618",3868
"619",4276
"620",5195
"621",5507
"622",5493
"623",4654
"624",4646
"625",4728
"626",5553
"627",4642
"628",5913
"629",5496
"630",5768
"631",5470
"632",4467
"633",4822
"634",4690
"635",5815
"636",4733
"637",3162
"638",4809
"639",5088
"640",4777
"641",4686
"642",4829
"643",5554
"644",5348
"645",4775
"646",4174
"647",5045
"648",5841
"649",4733
"650",5177
"651",5527
"652",4704
"653",5556
"654",5450
"655",5441
"656",5120
"657",5080
"658",6076
"659",5107
"660",5681
"661",4164
"662",5145
"663",4975
"664",5553
"665",4550
"666",4752
"667",5191
"668",4510
"669",4702
"670",5009
"671",5565
"672",4960
"673",4454
"674",5311
"675",4933
"676",3837
"677",4446
"678",5252
"679",5539
"680",4775
"681",4966
"682",4716
"683",5778
"684",5293
"685",5172
"686",5386
"687",5452
"688",5142
"689",5374
"690",5679
"691",5281
"692",4665
"693",5292
"694",5288
"695",5178
"696",4831
"697",5105
"698",5185
"699",5181
"700",5023
"701",5223
"702",4636
"703",4675
"704",5046
"705",5566
"706",4609
"707",4729
"708",5205
"709",5146
"710",5597
"711",5080
"712",5088
"713",5423
"714",5655
"715",4648
"716",3938
"717",4790
"718",4645
"719",4395
"720",5141
"721",5585
"722",4816
"723",4760
"724",5256
"725",4944
"726",4415
"727",5071
"728",4123
"729",3936
"730",3857
"731",4559
"732",4935
"733",4393
"734",4892
"735",5168
"736",4256
"737",4451
"738",4254
"739",4610
"740",4892
"741",5397
"742",4956
"743",5750
"744",4505
"745",4357
"746",4913
"747",5485
"748",5705
"749",4947
"750",5140
"751",5210
"752",5592
"753",5009
"754",4301
"755",4282
"756",4353
"757",5269
"758",5316
"759",5221
"760",5136
"761",4496
"762",3514
"763",3969
"764",4983
"765",4490
"766",4037
"767",3882
"768",4071
"769",4320
"770",4395
"771",4435
"772",4400
"773",4339
"774",4653
"775",4186
"776",3919
"777",4381
"778",4876
"779",4842
"780",4460
"781",4376
"782",4111
"783",4639
"784",4341
"785",4601
"786",4852
"787",4671
"788",4967
"789",4830
"790",4184
"791",3865
"792",4654
"793",5131
"794",5066
"795",4352
"796",4640
"797",5197
"798",5035
"799",3976
"800",4999
"801",4733
"802",4505
"803",4720
"804",4780
"805",4963
"806",4675
"807",5123
"808",4483
"809",4599
"810",4274
"811",5147
"812",4512
"813",5067
"814",5633
"815",5070
"816",4730
"817",5466
"818",4736
"819",5375
"820",5255
"821",4123
"822",4311
"823",4620
"824",4638
"825",4638
"826",5129
"827",5224
"828",5080
"829",5130
"830",4831
"831",4864
"832",4752
"833",4454
"834",4762
"835",4788
"836",3835
"837",4430
"838",4349
"839",5118
"840",4636
"841",4533
"842",4003
"843",4358
"844",4545
"845",3662
"846",4747
"847",4669
"848",4828
"849",4097
"850",3957
"851",4214
"852",3983
"853",5210
"854",4733
"855",4485
"856",3918
"857",4207
"858",4371
"859",4954
"860",4425
"861",4880
"862",3470
"863",4612
"864",4837
"865",4445
"866",5035
"867",4105
"868",4335
"869",4392
"870",4079
"871",5101
"872",4586
"873",4548
"874",5124
"875",4650
"876",4749
"877",4891
"878",4677
"879",3924
"880",4839
"881",4726
"882",5067
"883",5160
"884",4836
"885",4447
"886",4397
"887",4865
"888",5339
"889",4976
"890",4919
"891",4892
"892",4696
"893",4808
"894",4942
"895",4400
"896",4761
"897",4811
"898",5122
"899",5252
"900",3934
"901",4555
"902",4354
"903",5051
"904",4955
"905",5582
"906",5115
"907",4867
"908",4711
"909",4254
"910",4790
"911",3989
"912",4073
"913",4808
"914",4158
"915",5201
"916",5008
"917",4452
"918",3909
"919",3899
"920",4063
"921",3980
"922",5268
"923",4374
"924",5370
"925",4726
"926",4163
"927",4878
"928",5287
"929",4060
"930",4406
"931",5023
"932",3996
"933",4563
"934",4355
"935",4861
"936",4287
"937",4041
"938",4253
"939",4230
"940",4457
"941",4829
"942",5023
"943",4533
"944",4180
"945",3583
"946",4439
"947",4613
"948",3735
"949",4312
"950",4893
"951",4690
"952",4482
"953",4623
"954",5042
"955",4638
"956",4849
"957",4441
"958",5010
"959",4794
"960",3970
"961",5055
"962",4117
"963",5182
"964",5148
"965",4794
"966",3968
"967",5516
"968",4814
"969",4292
"970",3840
"971",4980
"972",4189
"973",4787
"974",4417
"975",5426
"976",4515
"977",4741
"978",4997
