"","NDVI2010"
"1",6975
"2",8336
"3",6682
"4",6427
"5",6389
"6",6728
"7",6351
"8",6473
"9",5636
"10",7525
"11",6902
"12",6620
"13",5875
"14",7109
"15",4645
"16",4540
"17",4497
"18",4527
"19",4002
"20",5804
"21",7566
"22",5614
"23",7375
"24",6927
"25",6520
"26",5952
"27",5452
"28",5187
"29",6034
"30",5135
"31",5942
"32",5957
"33",5909
"34",6169
"35",5823
"36",7580
"37",7452
"38",7025
"39",7420
"40",6933
"41",6276
"42",6036
"43",6262
"44",5421
"45",6250
"46",5740
"47",7593
"48",6898
"49",7360
"50",6637
"51",7176
"52",6353
"53",6553
"54",6325
"55",6162
"56",6114
"57",7041
"58",7230
"59",6764
"60",6158
"61",6161
"62",7102
"63",6982
"64",6739
"65",5948
"66",5187
"67",5465
"68",6964
"69",7324
"70",6475
"71",6527
"72",6498
"73",6754
"74",6218
"75",6419
"76",6845
"77",6750
"78",6138
"79",7389
"80",6676
"81",5928
"82",6997
"83",7201
"84",6430
"85",6550
"86",7756
"87",6587
"88",6828
"89",6969
"90",6183
"91",7495
"92",7251
"93",6781
"94",7268
"95",6516
"96",6455
"97",5761
"98",7285
"99",6303
"100",6654
"101",7542
"102",7449
"103",6837
"104",6869
"105",7021
"106",5761
"107",5622
"108",5845
"109",7470
"110",7407
"111",6933
"112",6545
"113",7648
"114",7121
"115",6539
"116",6831
"117",7066
"118",7818
"119",6662
"120",7141
"121",7367
"122",5122
"123",6019
"124",5827
"125",6517
"126",6860
"127",6777
"128",5308
"129",6753
"130",6986
"131",6439
"132",6599
"133",6868
"134",7448
"135",5881
"136",6785
"137",6964
"138",5850
"139",5969
"140",5989
"141",6469
"142",6224
"143",6076
"144",4831
"145",6537
"146",5568
"147",5255
"148",6426
"149",4925
"150",5872
"151",6619
"152",6228
"153",6404
"154",6955
"155",6458
"156",7086
"157",6393
"158",6850
"159",6593
"160",5560
"161",7650
"162",6753
"163",5944
"164",6288
"165",5990
"166",6254
"167",4110
"168",7471
"169",7130
"170",6614
"171",6356
"172",5972
"173",4715
"174",4401
"175",6084
"176",6425
"177",7186
"178",7228
"179",6822
"180",7141
"181",5989
"182",5986
"183",6176
"184",5908
"185",6848
"186",5839
"187",6190
"188",5496
"189",5084
"190",7312
"191",6310
"192",6844
"193",6777
"194",5727
"195",6923
"196",6781
"197",6737
"198",5023
"199",5698
"200",4974
"201",5540
"202",5744
"203",4730
"204",6443
"205",7636
"206",6036
"207",6764
"208",7491
"209",6164
"210",6571
"211",6078
"212",6608
"213",5405
"214",4020
"215",7064
"216",6436
"217",7443
"218",6140
"219",6278
"220",6416
"221",6413
"222",6406
"223",6219
"224",5974
"225",6167
"226",5384
"227",4905
"228",6585
"229",5863
"230",6767
"231",7139
"232",6224
"233",7168
"234",6554
"235",6492
"236",7166
"237",6356
"238",7774
"239",5057
"240",5745
"241",5976
"242",5504
"243",5255
"244",6769
"245",7101
"246",6746
"247",6733
"248",6535
"249",6920
"250",5602
"251",5523
"252",5523
"253",5086
"254",6503
"255",7589
"256",5532
"257",6001
"258",5718
"259",6782
"260",7664
"261",5288
"262",5203
"263",5374
"264",5658
"265",5225
"266",4238
"267",6103
"268",6869
"269",6202
"270",6717
"271",7560
"272",7293
"273",6043
"274",6075
"275",4738
"276",5825
"277",5653
"278",5847
"279",5191
"280",6688
"281",7100
"282",7028
"283",7197
"284",6283
"285",6987
"286",6808
"287",6717
"288",6340
"289",6313
"290",6256
"291",5393
"292",5855
"293",5678
"294",6242
"295",7532
"296",6804
"297",6923
"298",7171
"299",6728
"300",4836
"301",6960
"302",5977
"303",6829
"304",6593
"305",5866
"306",6163
"307",6287
"308",6055
"309",6447
"310",6321
"311",6544
"312",6314
"313",6457
"314",6266
"315",5449
"316",6422
"317",5784
"318",6050
"319",6661
"320",4952
"321",4955
"322",6028
"323",6329
"324",7593
"325",6812
"326",6205
"327",6842
"328",6477
"329",5692
"330",5859
"331",6238
"332",4336
"333",6053
"334",5162
"335",5716
"336",5852
"337",6016
"338",5529
"339",5188
"340",6401
"341",6575
"342",4956
"343",5555
"344",5827
"345",5327
"346",5475
"347",6370
"348",5816
"349",7024
"350",7069
"351",6853
"352",6236
"353",6833
"354",5658
"355",4420
"356",5029
"357",6853
"358",5978
"359",5431
"360",5464
"361",5716
"362",6665
"363",6906
"364",6672
"365",7008
"366",7071
"367",6289
"368",6055
"369",7470
"370",6042
"371",6216
"372",6339
"373",6452
"374",6482
"375",6321
"376",5355
"377",6065
"378",5972
"379",5033
"380",5355
"381",6526
"382",6417
"383",6010
"384",6369
"385",6109
"386",6581
"387",5493
"388",6526
"389",7191
"390",6860
"391",5721
"392",6362
"393",5764
"394",5949
"395",7032
"396",5985
"397",5158
"398",5908
"399",7172
"400",7151
"401",6279
"402",5148
"403",5829
"404",6033
"405",6632
"406",6345
"407",7145
"408",6206
"409",6124
"410",7421
"411",5802
"412",6550
"413",5845
"414",6173
"415",5512
"416",6688
"417",5672
"418",6829
"419",6829
"420",6646
"421",3256
"422",7106
"423",6292
"424",6734
"425",6213
"426",5821
"427",5208
"428",5913
"429",7323
"430",6482
"431",6582
"432",6334
"433",5748
"434",6592
"435",6155
"436",5775
"437",5725
"438",5142
"439",6443
"440",5168
"441",6079
"442",6001
"443",5808
"444",6606
"445",7079
"446",6639
"447",5038
"448",6872
"449",4856
"450",7428
"451",6350
"452",5157
"453",4764
"454",6245
"455",6298
"456",7619
"457",7630
"458",6419
"459",6880
"460",7093
"461",7050
"462",5490
"463",5617
"464",6266
"465",5766
"466",6466
"467",5151
"468",6486
"469",6633
"470",6828
"471",7026
"472",6513
"473",6189
"474",6927
"475",7770
"476",5566
"477",6716
"478",5687
"479",5054
"480",5739
"481",6956
"482",7406
"483",6659
"484",6307
"485",7069
"486",6898
"487",6141
"488",5822
"489",7084
"490",6839
"491",6807
"492",6312
"493",7647
"494",7747
"495",8049
"496",7679
"497",6606
"498",6227
"499",6238
"500",7334
"501",7578
"502",8104
"503",7899
"504",7153
"505",7802
"506",7536
"507",5834
"508",5882
"509",7883
"510",6368
"511",7747
"512",5737
"513",7595
"514",7863
"515",7054
"516",5949
"517",6996
"518",6133
"519",7280
"520",7290
"521",6337
"522",7263
"523",6515
"524",5789
"525",7179
"526",5838
"527",7329
"528",7676
"529",6763
"530",6037
"531",5864
"532",6655
"533",6981
"534",7666
"535",6602
"536",7187
"537",6364
"538",7003
"539",5846
"540",6991
"541",7707
"542",7374
"543",7409
"544",6369
"545",7689
"546",6881
"547",6696
"548",6124
"549",6485
"550",8332
"551",7945
"552",7395
"553",8158
"554",6054
"555",7991
"556",8433
"557",7862
"558",8160
"559",7866
"560",6972
"561",7875
"562",6295
"563",6906
"564",8517
"565",6941
"566",7032
"567",7877
"568",7638
"569",6632
"570",8274
"571",8476
"572",7359
"573",7993
"574",6195
"575",6323
"576",5654
"577",8109
"578",7779
"579",7863
"580",7776
"581",7576
"582",5896
"583",6299
"584",6140
"585",8040
"586",7812
"587",7838
"588",8109
"589",7911
"590",8200
"591",8140
"592",7534
"593",6306
"594",6277
"595",8020
"596",8254
"597",7845
"598",8311
"599",8031
"600",6798
"601",8142
"602",7373
"603",6655
"604",8142
"605",8400
"606",8295
"607",7990
"608",8185
"609",7898
"610",8194
"611",8275
"612",8040
"613",8424
"614",8263
"615",8179
"616",7665
"617",7495
"618",6320
"619",8047
"620",8476
"621",8111
"622",8163
"623",7901
"624",7267
"625",8148
"626",8313
"627",8141
"628",8436
"629",8346
"630",7622
"631",7889
"632",7517
"633",8275
"634",8426
"635",8348
"636",7568
"637",6875
"638",7278
"639",7369
"640",7915
"641",7007
"642",7991
"643",8278
"644",8185
"645",6858
"646",7696
"647",7958
"648",8067
"649",8228
"650",8236
"651",7701
"652",6440
"653",8515
"654",7632
"655",7623
"656",7966
"657",8301
"658",7835
"659",8218
"660",6883
"661",7346
"662",8247
"663",7796
"664",8231
"665",7997
"666",7738
"667",8139
"668",7506
"669",8321
"670",8154
"671",7453
"672",8017
"673",8400
"674",7969
"675",6413
"676",7510
"677",6454
"678",7882
"679",7217
"680",7567
"681",6908
"682",7397
"683",7836
"684",7973
"685",7546
"686",7679
"687",7627
"688",8082
"689",7878
"690",7857
"691",5950
"692",6518
"693",7938
"694",7982
"695",7234
"696",7763
"697",6931
"698",5699
"699",7148
"700",7590
"701",7087
"702",7205
"703",6948
"704",7653
"705",7145
"706",6799
"707",7247
"708",7580
"709",7622
"710",6877
"711",6441
"712",7273
"713",6364
"714",6969
"715",7088
"716",6819
"717",7089
"718",6212
"719",6906
"720",7519
"721",7522
"722",7790
"723",6999
"724",8367
"725",6843
"726",5732
"727",6265
"728",6176
"729",7053
"730",6475
"731",7087
"732",7301
"733",6588
"734",6770
"735",7538
"736",6100
"737",6692
"738",6034
"739",5770
"740",7342
"741",7701
"742",7210
"743",7776
"744",6344
"745",7008
"746",6648
"747",7661
"748",7191
"749",7195
"750",6494
"751",7181
"752",7504
"753",8010
"754",5385
"755",5988
"756",8022
"757",7648
"758",7874
"759",7029
"760",6754
"761",6749
"762",6025
"763",6075
"764",7174
"765",8320
"766",7873
"767",7641
"768",7469
"769",6952
"770",6554
"771",8136
"772",7413
"773",7280
"774",6959
"775",5687
"776",5124
"777",7802
"778",6403
"779",8084
"780",7741
"781",4727
"782",7456
"783",8006
"784",6191
"785",8142
"786",7969
"787",7636
"788",7859
"789",6888
"790",7417
"791",7106
"792",7684
"793",5875
"794",6667
"795",6509
"796",7440
"797",7055
"798",8157
"799",8148
"800",7827
"801",7253
"802",7331
"803",8320
"804",8165
"805",8153
"806",7957
"807",5678
"808",7724
"809",7769
"810",7049
"811",6829
"812",7127
"813",7855
"814",7985
"815",7830
"816",7815
"817",7855
"818",7486
"819",7802
"820",8048
"821",5775
"822",7213
"823",8512
"824",8220
"825",8220
"826",7467
"827",7554
"828",8184
"829",7796
"830",7617
"831",7508
"832",7969
"833",6762
"834",6783
"835",8211
"836",8399
"837",8198
"838",7866
"839",7558
"840",7380
"841",5154
"842",8228
"843",8259
"844",7321
"845",7282
"846",6505
"847",6255
"848",6560
"849",5235
"850",8408
"851",8277
"852",7934
"853",8064
"854",7469
"855",6848
"856",5660
"857",8263
"858",8276
"859",7096
"860",6710
"861",6643
"862",5236
"863",7096
"864",8123
"865",8395
"866",8472
"867",8135
"868",6943
"869",7132
"870",5634
"871",7651
"872",8588
"873",8478
"874",8226
"875",7709
"876",8154
"877",6907
"878",7384
"879",8306
"880",8285
"881",8185
"882",7750
"883",6619
"884",8675
"885",8406
"886",8517
"887",8154
"888",7847
"889",7915
"890",7641
"891",7207
"892",7224
"893",6761
"894",6322
"895",8602
"896",8638
"897",7566
"898",8632
"899",8518
"900",7734
"901",7335
"902",5870
"903",7827
"904",8096
"905",8362
"906",8473
"907",8332
"908",8107
"909",8244
"910",6942
"911",7906
"912",7318
"913",7147
"914",8043
"915",8416
"916",6572
"917",8614
"918",8409
"919",8285
"920",8017
"921",7614
"922",7564
"923",8462
"924",7939
"925",7557
"926",8663
"927",8435
"928",8101
"929",8527
"930",7485
"931",6744
"932",8212
"933",7510
"934",8317
"935",7760
"936",6696
"937",7122
"938",7049
"939",7042
"940",7432
"941",7073
"942",8468
"943",7259
"944",6651
"945",5804
"946",8793
"947",6990
"948",6962
"949",5724
"950",8729
"951",8470
"952",6148
"953",8681
"954",7854
"955",7889
"956",7683
"957",8608
"958",8443
"959",6732
"960",7396
"961",8436
"962",8559
"963",8377
"964",8462
"965",8170
"966",8517
"967",8687
"968",8269
"969",5505
"970",5146
"971",8132
"972",8223
"973",8546
